group,group_id,mesh,face_count,candidate_pool_size,score_min,score_median,score_max,top1_score,top1_x,top1_y,top1_z,top1_hit,top2_score,top3_score,elapsed_sec,tomo_int3_dll_sec,tomo_cuda_dll_sec,sftf_cpp_ms,html
A,A1,Group_A1_cube.stl,12,1292,-0.001629,1.071,2.144,-0.001629,0.0,1.0,-0.002,0,0.001609,0.009732,0.13,49.640821799999685,11.445880700000089,4.1,SFTF_result/Group_A1_cube.html
A,A2,Group_A2_sphere.stl,2976,1292,-1.263,0.8662,3.758,-1.263,0.993,0.121,0.006,498,-1.171,-1.069,0.74,40.222668599919416,13.82060730000012,23.9,SFTF_result/Group_A2_sphere.html
A,A3,Group_A3_cylinder.stl,192,1292,-0.001519,1.07,2.144,-0.001519,-0.002,-0.007,-1.0,0,0.03004,0.03141,0.17,39.64265970000997,22.964013599999817,1.3,SFTF_result/Group_A3_cylinder.html
A,A4,Group_A4_cone.stl,96,1292,-0.003342,1.069,2.143,-0.003342,-0.066,0.998,0.0,0,0.0001699,0.001387,0.12,40.51254960009828,14.989935200000218,0.8,SFTF_result/Group_A4_cone.html
A,A5,Group_A5_torus.stl,2304,1292,-0.2194,1.078,2.144,-0.2194,-0.701,-0.713,0.009,184,-0.1922,-0.166,0.45,43.72000460000709,13.567568299999948,14.2,SFTF_result/Group_A5_torus.html
B,B1,Group_B1_u_bracket.stl,28,1292,-0.1314,1.08,2.304,-0.1314,-0.998,0.053,0.021,2,-0.09043,-0.03355,0.15,40.34256360004656,13.907407600000624,3.9,SFTF_result/Group_B1_u_bracket.html
B,B2,Group_B2_hook.stl,1560,1292,-0.005096,1.1,2.255,-0.005096,-0.81,0.059,0.584,235,0.0005696,0.001956,0.58,41.48358989995904,12.506420599999728,15.8,SFTF_result/Group_B2_hook.html
B,B3,Group_B3_c_clamp.stl,28,1292,-0.1845,1.079,2.555,-0.1845,-0.988,-0.153,0.014,1,-0.1734,-0.1682,0.17,44.821752800024115,17.431455800000094,0.8,SFTF_result/Group_B3_c_clamp.html
B,B4,Group_B4_pipe_elbow.stl,2400,1292,-0.2033,1.06,2.133,-0.2033,-0.007,-0.999,-0.053,500,-0.1987,-0.1933,0.81,46.990891900029965,13.391905800000131,25.3,SFTF_result/Group_B4_pipe_elbow.html
B,B5,Group_B5_hollow_box.stl,24,1292,-1.454,1.142,2.846,-1.454,-0.989,-0.0,0.15,4,-1.346,-1.189,0.21,38.62934280000627,17.471646700000292,0.9,SFTF_result/Group_B5_hollow_box.html
C,C1,Group_C1_Bunny_69k.ply,69662,1292,-1.473886367157242,1.1172106893880713,3.552188071262588,-1.473886367157242,0.7802530989264194,0.5774881355353362,0.240234375,81,-1.3390734314484893,-1.1121269558481792,1.6873886999674141,47.458963299985044,52.54652309999801,247.7204,SFTF_result/Group_C1_Bunny_69k.html
C,C2,Group_C2_manikin.ply,13672,1292,-0.02847962819519667,1.078622850503486,2.353742370255616,-0.02847962819519667,0.10879496012099496,-0.027879469372241217,-0.9936731816043912,134,0.12013694810224673,0.1257776917118516,1.0244518000399694,37.84603509999579,30.43666619999567,44.2999,SFTF_result/Group_C2_manikin.html
C,C3,Group_C3_dragon_100k_1.5x.ply,99999,1292,-0.06508079008520484,1.107681216111542,2.2639856700232377,-0.06508079008520484,0.983007624520949,0.09526506983047107,0.15690945351978114,970,-0.0418177381874516,-0.026708830364058578,3.174526200047694,73.8111289999797,94.22808960001566,323.3228,SFTF_result/Group_C3_dragon_100k_1.5x.html
C,C4,Group_C4_happy_50k_0.75x.ply,49944,1292,-0.507567467079783,1.0257090627420604,3.1025361735089083,-0.507567467079783,0.913570211502454,0.3746481548007355,-0.158203125,240,-0.42693524399690097,-0.375486909372579,1.5037245999556035,47.1519064999884,51.71300000001793,130.0654,SFTF_result/Group_C4_happy_50k_0.75x.html
C,C5,Group_C5_lucy_50k.ply,49999,1292,-0.7001813323005417,1.2177348567002326,2.837563284275755,-0.7001813323005417,-0.05820251023089405,0.040357872118255256,-0.9974887016708055,542,-0.6652532145623546,-0.5514936483346242,1.8741692999610677,51.14782980000018,71.72611059999326,172.479,SFTF_result/Group_C5_lucy_50k.html
D,D1,Group_D1_37009.stl,23909,1292,-0.7766,1.102,3.028,-0.7766,-0.984,-0.162,0.072,57,-0.544,-0.5041,1.37,51.45528929994907,144.09871169999997,114.5,SFTF_result/Group_D1_37009.html
D,D2,Group_D2_37010.stl,13247,1292,-0.6905,1.067,2.7,-0.6905,-0.579,-0.803,0.143,35,-0.6815,-0.6781,1.24,45.579272100003436,148.93801520000034,63.5,SFTF_result/Group_D2_37010.html
D,D3,Group_D3_37011.stl,17288,1292,-0.6791,1.09,2.929,-0.6791,-0.04,0.084,-0.996,82,-0.6063,-0.5621,1.15,52.648213000036776,59.7493072999996,89.2,SFTF_result/Group_D3_37011.html
D,D4,Group_D4_37091.stl,256,1292,-0.5613,1.088,2.409,-0.5613,-0.057,-0.985,0.162,42,-0.5051,-0.4772,0.36,46.38487970002461,21.229655699999967,5.2,SFTF_result/Group_D4_37091.html
D,D5,Group_D5_37095.stl,468,1292,-0.9582,1.004,2.716,-0.9582,-0.981,0.192,0.021,65,-0.562,-0.5308,0.49,38.189997800043784,39.535051799999565,6.2,SFTF_result/Group_D5_37095.html
D,D6,Group_D6_37111.stl,88106,1292,-1.019,1.058,2.908,-1.019,0.969,-0.174,-0.178,386,-0.9396,-0.8954,3.42,99.33802309993189,212.37640529999953,465.4,SFTF_result/Group_D6_37111.html
D,D7,Group_D7_37137.stl,64078,1292,-0.9211,1.104,3.256,-0.9211,-0.457,0.09,-0.885,434,-0.5318,-0.5015,2.9,73.92242329998408,233.4545194000002,305.5,SFTF_result/Group_D7_37137.html
D,D8,Group_D8_37402.stl,8322,1292,-0.01381,1.016,2.513,-0.01381,0.602,0.434,-0.67,119,0.04701,0.04793,2.43,40.316871499991976,73.75537940000049,49.7,SFTF_result/Group_D8_37402.html
D,D9,Group_D9_37415.stl,13340,1292,-0.8689,1.097,2.808,-0.8689,0.31,0.95,0.045,77,-0.821,-0.5174,2.96,44.51108859991655,126.26934669999991,65.4,SFTF_result/Group_D9_37415.html
D,D10,Group_D10_37416.stl,12036,1292,-0.8235,0.9548,3.163,-0.8235,-0.905,-0.416,-0.092,496,-0.6578,-0.5468,3.39,43.447351500042714,64.44014930000003,80.4,SFTF_result/Group_D10_37416.html
E,E1,Group_E1_39507.stl,969520,1292,-1.239,1.047,3.685,-1.239,0.238,-0.164,-0.957,562,-1.023,-0.7375,16.92,973.2865405000048,1041.7125312999997,4387.6,SFTF_result/Group_E1_39507.html
E,E2,Group_E2_45809.stl,517589,1292,-1.592,0.5385,4.742,-1.592,0.109,-0.028,-0.994,107,-1.39,-1.364,9.71,513.2153715999739,585.8457065999974,1984.5,SFTF_result/Group_E2_45809.html
E,E3,Group_E3_45811.stl,1037876,1292,-0.6547,0.9761,3.865,-0.6547,-0.124,0.241,-0.963,1309,-0.495,-0.4691,18.69,1038.3952462000016,1153.7853732999938,4515.6,SFTF_result/Group_E3_45811.html
E,E4,Group_E4_46012.stl,638754,1292,-1.581,0.8354,4.054,-1.581,-0.028,-0.043,0.999,50,-1.426,-1.223,11.15,658.5713224000065,802.4439197000174,2583.8,SFTF_result/Group_E4_46012.html
E,E5,Group_E5_55280.stl,900490,1292,-1.051,1.138,2.754,-1.051,-0.682,0.682,-0.264,1072,-0.6833,-0.6386,16.78,939.6055977999931,1102.825331,3957.9,SFTF_result/Group_E5_55280.html
E,E6,Group_E6_59197.stl,786432,1292,-1.056,0.8242,4.445,-1.056,-0.005,-0.634,-0.773,699,-0.9385,-0.9066,17.5,776.4857646000164,826.2958106999868,4119.5,SFTF_result/Group_E6_59197.html
E,E7,Group_E7_61384.stl,516608,1292,-0.5539,1.072,2.451,-0.5539,0.414,0.15,-0.898,1766,-0.3896,-0.3845,12.85,521.5448447999952,642.2170291999937,2065.0,SFTF_result/Group_E7_61384.html
E,E8,Group_E8_64445.obj,514938,1292,-0.9824,1.129,2.711,-0.9824,0.042,-0.963,-0.268,2288,-0.919,-0.7005,15.05,125.46197599999141,211.9613423999981,2208.0,SFTF_result/Group_E8_64445.html
E,E9,Group_E9_64446.obj,514938,1292,-0.9824,1.129,2.711,-0.9824,0.042,-0.963,-0.268,2288,-0.919,-0.7005,14.93,125.66382950000116,211.6017542000045,2211.4,SFTF_result/Group_E9_64446.html
E,E10,Group_E10_65942.stl,754688,1292,-1.334,0.7483,4.443,-1.334,0.68,-0.722,0.127,1175,-1.241,-1.141,22.11,765.2395869000175,830.1431490000105,3201.6,SFTF_result/Group_E10_65942.html
