study_id,source_set,thingi_id,relative_path,face_count,stratum,sha256,selection_rank,tomo_grid_existing
N048,confirm80,73986,thingi10k_strict/thingi_73986.stl,64440,faces_50k_150k,14800125fe63c30ed71ac1cc550f88a7532ee7f92266b13933e216814d7b0e31,16bd7ff335673ce5925104ed6b5416b575797520576d8df02e33bd4e5f96ac45,Experimental/R_term_recalib/confirm80_grids/N048.npz
N049,confirm80,668057,thingi10k_strict/thingi_668057.stl,62390,faces_50k_150k,732c5533e5df16d4e9fc4f982466c42b163a791d9afe7325cee0788c8c5c7c97,17b548683b8b92bd3af73e82997a65d114e5635cf2efc9e424c68d452e66bf80,Experimental/R_term_recalib/confirm80_grids/N049.npz
N050,confirm80,472019,thingi10k_strict/thingi_472019.stl,69324,faces_50k_150k,5cae08e07d9bb76847099e2ab3876428794fa37c881a4841de88321691db87ef,19b81efd6f0845cf0dfd7891379df9dae1d8a5b913eb83aab3e81128bf026b79,Experimental/R_term_recalib/confirm80_grids/N050.npz
N051,confirm80,79241,thingi10k_strict/thingi_79241.stl,74278,faces_50k_150k,f763b9b794e47aa484a386ea60d864e5eb53d5518e6fddf6617a974495d9049c,20f82d774da13c7120236d8ac4e2ab7a6cf8b7c378dee2a2c05610b729cbb2f1,Experimental/R_term_recalib/confirm80_grids/N051.npz
N052,confirm80,591243,thingi10k_strict/thingi_591243.stl,58592,faces_50k_150k,f3a4a4329646beb9fc9334543de1ae75c3b3f9271122f1e3a4cc2c0465226dca,218f73e9a1dcb098b74dcb306334563adb097e070cb6fcdd3af79c0cc07db7c7,Experimental/R_term_recalib/confirm80_grids/N052.npz
N053,confirm80,472203,thingi10k_strict/thingi_472203.stl,59852,faces_50k_150k,d6eead7b819f33b25152b010cee7a44a767f744fe668e7a69e2dc77b3d7517a3,24f3dedc0d0c0a2952b7140b04d3a56364c447691e01b39b654b359fcf3158a3,Experimental/R_term_recalib/confirm80_grids/N053.npz
N054,confirm80,789081,thingi10k_strict/thingi_789081.stl,75676,faces_50k_150k,553e022c4c70ba153e8a5cf2898984c5995d38ec9ba51ee689eaf206f5284229,253a38741260ecfa4edeb370f9dcca308f49f4a4646950c6c0db00b89e3e4cd4,Experimental/R_term_recalib/confirm80_grids/N054.npz
N055,confirm80,111240,thingi10k_strict/thingi_111240.stl,59946,faces_50k_150k,18c6070a74ca4d68cf98946175245bc82e619b8876070dbfc1e261f6d68e8117,263a3fcc2e76879085c74ecfbb7d364a84f7d6c298d58393d522b401f5f6cf42,Experimental/R_term_recalib/confirm80_grids/N055.npz
N056,confirm80,472111,thingi10k_strict/thingi_472111.stl,64716,faces_50k_150k,800989b9fc6c500b9899ef4c744f0b3ce47b205da944c872d15c588488133ae2,277d390c8eb972e9cc907260cf7ef7883400c6ef083bd5fd30208f255f8e662d,Experimental/R_term_recalib/confirm80_grids/N056.npz
N057,confirm80,101339,thingi10k_strict/thingi_101339.stl,58350,faces_50k_150k,46b6ba5ec54844de7f17a082b581f628d17672d53e0bead9e1c2e3222f45e8c0,2e2979ed0f30cfba53a47b0b705116b825db26470cac33a25aef01d346b6b84d,Experimental/R_term_recalib/confirm80_grids/N057.npz
N058,confirm80,667995,thingi10k_strict/thingi_667995.stl,50150,faces_50k_150k,703acb2402cc50e3e088abca0a54d554d0694132ccac73d62e55136d2ab62d02,2e3df387db0c166e2dae782ab386c4bf393fef3698d887f8dda7b034ae02d737,Experimental/R_term_recalib/confirm80_grids/N058.npz
N059,confirm80,69685,thingi10k_strict/thingi_69685.stl,69998,faces_50k_150k,ec4028831e42f702a809a3e1bebfe633a5383c56da6294dbcc9d3d1aed1f5d35,300fde954f6ad3aa465baa606a619d10da16a2882141a4fa5f68488ca24d4f48,Experimental/R_term_recalib/confirm80_grids/N059.npz
N060,confirm80,466263,thingi10k_strict/thingi_466263.stl,83648,faces_50k_150k,05442e682ef37f8458e7898e0146035125fa3dcfc966bdba002cd2ac56867001,311e437f39f6d1c26834551927652721706bc55ae8467044c0f09481fb5a553d,Experimental/R_term_recalib/confirm80_grids/N060.npz
N061,confirm80,548875,thingi10k_strict/thingi_548875.stl,133414,faces_50k_150k,2c1afeede9c6f2ba1fde9c5d37ba82a6711cf7170bebcbbbf221a7416bbfadc9,31cfb29495e3be8a49ef3a8edb0074296932bb52b014700f21480ebf8fb6fbac,Experimental/R_term_recalib/confirm80_grids/N061.npz
N062,confirm80,471990,thingi10k_strict/thingi_471990.stl,103860,faces_50k_150k,e988638eb2f4450447fea188fdeb0e40841b60773c7085121bcebc12a75dee82,31fe700a20d8cd9874c219b0b97a6b537e1fe8b06d510fc660a64599311e9c0b,Experimental/R_term_recalib/confirm80_grids/N062.npz
N063,confirm80,1397588,thingi10k_strict/thingi_1397588.stl,115676,faces_50k_150k,abd848cccd7d7ff1915fe3172b93975be9bde9ad16ce8f67377c8b507b6fb721,363611913e41d2461271a5afc83f05e30beb1e724e51d1a8c2fb0ab1b1ccc1f1,Experimental/R_term_recalib/confirm80_grids/N063.npz
N064,confirm80,488050,thingi10k_strict/thingi_488050.stl,66354,faces_50k_150k,27d9bac806b030c977775f604813e4c5473d14c648a06a9c74d5eda406352e9b,3a688083da1123755fc589a66a96e0fed8b7ce1a8cfbd3b39d2a0013e784ac87,Experimental/R_term_recalib/confirm80_grids/N064.npz
N065,confirm80,932610,thingi10k_strict/thingi_932610.stl,56794,faces_50k_150k,67ddf5994b62c5d7aa6a9959ba8211b92bab134d579bc6a37b3912bbd2633666,3afac6315628bd3af85d704b7aff32c0f477bf2c8600cb65443186b48a4fc3e8,Experimental/R_term_recalib/confirm80_grids/N065.npz
N066,confirm80,74690,thingi10k_strict/thingi_74690.stl,82060,faces_50k_150k,5c62b543744ead8342de87ee0eb1395b5fcf7fc916bb0ce7d0d547dad900262f,3d125e93198cce1b716a15ff5bf493b99d0c0aa20095be40e12f4e3f6165c385,Experimental/R_term_recalib/confirm80_grids/N066.npz
N067,confirm80,470464,thingi10k_strict/thingi_470464.stl,75806,faces_50k_150k,94a138b3b63e6e57c0fbf0433fc9b002e1e456af1621488b299f9cb35b87f1da,3f59b50c80fe7772da6e989b69b59f02e54277a3d716444340c7791ee4d0efde,Experimental/R_term_recalib/confirm80_grids/N067.npz
N068,confirm80,351479,thingi10k_strict/thingi_351479.stl,159910,faces_150k_250k,d7ab4b706dd2a70f0aed42315f42745c6c079629c780c7d5209e29caba32337c,70aa56ff22f1a72eca9f35baa58071f2f1e586df55bcc04bd54f1843251f8046,Experimental/R_term_recalib/confirm80_grids/N068.npz
N069,confirm80,1335002,thingi10k_strict/thingi_1335002.stl,187740,faces_150k_250k,2ec328c4fea7753db8c53f164ed50c80d8ff73295cb9da74c96efe021a56569d,760e062de668fde31054ba687a8d6d1c073bb99bb819ef2323c1c421637a31dc,Experimental/R_term_recalib/confirm80_grids/N069.npz
N070,confirm80,762601,thingi10k_strict/thingi_762601.stl,154802,faces_150k_250k,7d40d21c7f0c0d1dd21c0cb16bf228fab219b68fa54e28be1236f0fe7a8f0d1b,76fdeefd26bd2086ad2065d8fa688a137c99e1be90d5a814b70daf048b637336,Experimental/R_term_recalib/confirm80_grids/N070.npz
N071,confirm80,551075,thingi10k_strict/thingi_551075.stl,153456,faces_150k_250k,50a5777d6f5fe5056d0c0fb34eba458d7c17d42cadf6fb431ebcc399c8bf9bb3,8bb241cd1fbe783c29d48115efb1283e20ba9f42dbabba268f17a3fe7ece0313,Experimental/R_term_recalib/confirm80_grids/N071.npz
N072,confirm80,804297,thingi10k_strict/thingi_804297.stl,161822,faces_150k_250k,5dcc648f54f5d3531096c4469bcf8534f580e6920b3ad74b5f2c82f88667bff8,8fd0abb0971aa00c2cf5817f0f1d2f845fa3398def8cdd6b89025422359fa1b4,Experimental/R_term_recalib/confirm80_grids/N072.npz
