study_id,source_set,stratum,face_count,thingi_id,gate_accepted,sftf_k8192_wall_s,cura_5_13_sliced,cura_5_13_union,cura_5_13_mean_slice_s,cura_5_13_ref_min_mm3,cura_5_13_ref_max_mm3,cura_5_13_u_5_missing,cura_5_13_s_5_missing,cura_5_13_u_5,cura_5_13_s_5,cura_5_13_diff_5,cura_5_13_complete_5,cura_5_13_u_10_missing,cura_5_13_s_10_missing,cura_5_13_u_10,cura_5_13_s_10,cura_5_13_diff_10,cura_5_13_complete_10,cura_5_13_u_20_missing,cura_5_13_s_20_missing,cura_5_13_u_20,cura_5_13_s_20,cura_5_13_diff_20,cura_5_13_complete_20,prusa_2_9_6_sliced,prusa_2_9_6_union,prusa_2_9_6_mean_slice_s,prusa_2_9_6_ref_min_mm3,prusa_2_9_6_ref_max_mm3,prusa_2_9_6_u_5_missing,prusa_2_9_6_s_5_missing,prusa_2_9_6_u_5,prusa_2_9_6_s_5,prusa_2_9_6_diff_5,prusa_2_9_6_complete_5,prusa_2_9_6_u_10_missing,prusa_2_9_6_s_10_missing,prusa_2_9_6_u_10,prusa_2_9_6_s_10,prusa_2_9_6_diff_10,prusa_2_9_6_complete_10,prusa_2_9_6_u_20_missing,prusa_2_9_6_s_20_missing,prusa_2_9_6_u_20,prusa_2_9_6_s_20,prusa_2_9_6_diff_20,prusa_2_9_6_complete_20,tomo_u_5,tomo_s_5,tomo_diff_5,tomo_u_10,tomo_s_10,tomo_diff_10,tomo_u_20,tomo_s_20,tomo_diff_20
N048,confirm80,faces_50k_150k,64440,73986,True,16.186616100007086,55,55,20.999561601817682,7057.351597471105,21032.755706779757,0,0,0.1766914358787766,0.16026292524745311,-0.016428510631323473,True,0,0,0.28692576233418365,0.0,-0.28692576233418365,True,0,0,0.20831071852880534,0.0,-0.20831071852880534,True,55,55,3.054132218181092,22179.44844109737,40435.5364322493,0,0,0.024855401174121366,0.3182691542766552,0.2934137531025338,True,0,0,0.11826917799213835,0.009695038974646988,-0.10857413901749136,True,0,0,0.07307194385257317,0.0,-0.07307194385257317,True,0.18376402740173844,0.09465075207758858,-0.08911327532414987,0.13322599408619268,0.056799865055943755,-0.07642612903024892,0.05021869872560315,0.056799865055943755,0.0065811663303406015
N049,confirm80,faces_50k_150k,62390,668057,True,93.266776199991,55,55,36.696550130909735,387.62935815244293,32109.493774403876,0,0,0.004506684344965163,0.01362098552970769,0.009114301184742527,True,0,0,0.0210964124472283,0.0,-0.0210964124472283,True,0,0,0.0005405636697606054,0.0,-0.0005405636697606054,True,55,55,11.319929294545595,1120.5298579905361,102035.82300831788,0,0,0.015900286127195296,0.010748238561053189,-0.005152047566142107,True,0,0,0.020515502985429566,0.0,-0.020515502985429566,True,0,0,0.008037549654259589,0.0,-0.008037549654259589,True,0.002258764318909594,0.05523757689127751,0.05297881257236791,0.057918371968242635,0.050277062840841165,-0.00764130912740147,0.0014461222783291533,0.050277062840841165,0.04883094056251201
N050,confirm80,faces_50k_150k,69324,472019,True,13.87462869999581,55,55,14.448597447271723,863.2554005017342,58081.97258731018,0,0,0.011125643658841382,0.0008106557549625652,-0.010314987903878817,True,0,0,0.027906205301688084,0.0008106557549625652,-0.02709554954672552,True,0,0,0.05988980368930346,0.0,-0.05988980368930346,True,55,55,2.1899305963642703,4584.733447066565,57265.54766412828,0,0,0.0,0.03363919170072797,0.03363919170072797,True,0,0,0.038673231428677984,0.03363919170072797,-0.005034039727950017,True,0,0,0.13233738113184149,0.02484591750419915,-0.10749146362764234,True,6.351046549828012e-05,0.012248486736051811,0.012184976270553531,6.310580304981478e-05,0.012127474170519507,0.012064368367469692,0.00010833873992784572,0.011810634586739654,0.011702295846811808
N051,confirm80,faces_50k_150k,74278,79241,True,17.240854699994088,55,55,21.907703503638253,3600.3949062102647,25948.871789084667,0,0,0.42807828173902734,0.11510780015051646,-0.3129704815885109,True,0,0,0.25650491551127313,0.006975532372486645,-0.24952938313878648,True,0,0,0.10569743894359712,0.0,-0.10569743894359712,True,55,55,4.526180458182088,11873.683310428687,51338.375193936336,0,0,0.5670850228165955,0.18914262558097286,-0.3779423972356226,True,0,0,0.3545598585736637,0.0,-0.3545598585736637,True,0,0,0.18461296631410784,0.0,-0.18461296631410784,True,0.15232291680100546,0.014280274022560711,-0.13804264277844475,0.009520182300062841,0.0,-0.009520182300062841,0.009520182300062841,0.0,-0.009520182300062841
N052,confirm80,faces_50k_150k,58592,591243,True,20.20148770000378,55,55,13.835194052726465,4186.357722445468,22233.980101826357,0,0,0.15849910026675051,0.3700964966423074,0.2115973963755569,True,0,0,0.09964733029376094,0.3161571205802273,0.21650979028646639,True,0,0,0.0,0.3161571205802273,0.3161571205802273,True,55,55,3.511800203634828,17186.702459460357,40049.17246882325,0,0,0.0,0.20383855190386704,0.20383855190386704,True,0,0,0.1087886058773546,0.20383855190386704,0.09504994602651244,True,0,0,0.11013513519968018,0.18657738171546615,0.07644224651578596,True,0.0006068554296122767,0.0036584577617097104,0.003051602332097434,0.00023340601816510714,0.0036584577617097104,0.003425051743544603,0.0,0.0036584577617097104,0.0036584577617097104
N053,confirm80,faces_50k_150k,59852,472203,True,14.196701200009556,55,55,13.92484660545544,4003.122483275652,29373.06156588209,0,0,0.07717113901321287,0.17303384326002175,0.09586270424680887,True,0,0,0.06313194619247861,0.0,-0.06313194619247861,True,0,0,0.06879757707800839,0.0,-0.06879757707800839,True,55,55,3.094782412727628,9422.591711224844,44230.450741075176,0,0,0.1216266007064998,0.19251234060292105,0.07088573989642125,True,0,0,0.13597078198125828,0.0,-0.13597078198125828,True,0,0,0.1588014709938591,0.0,-0.1588014709938591,True,0.0,0.18545259903214695,0.18545259903214695,0.0,0.18545259903214695,0.18545259903214695,0.002935305579885379,0.1849242462376157,0.1819889406577303
N054,confirm80,faces_50k_150k,75676,789081,True,16.076591899996856,55,55,6.387149285455499,900.0773796759293,19896.499658884295,0,0,0.10337441757458833,0.436658820792846,0.3332844032182577,True,0,0,0.0,0.42924910039093567,0.42924910039093567,True,0,0,0.025850797540932103,0.08408099489920097,0.05823019735826887,True,55,55,1.9342808745462785,7356.097203470997,40233.884021908074,0,0,0.12157746015833444,0.48301275121433407,0.36143529105599964,True,0,0,0.05598228833114162,0.48301275121433407,0.42703046288319246,True,0,0,0.0,0.24857030586598552,0.24857030586598552,True,0.00012386681146967052,0.006960489859549308,0.0068366230480796375,6.944048557350575e-05,0.006960489859549308,0.006891049373975802,0.00010322234800742666,0.006960489859549308,0.006857267511541881
N055,confirm80,faces_50k_150k,59946,111240,True,7.722994200012181,55,55,21.549392765455096,6318.278951918073,29926.118129680133,0,0,0.30942143683298695,0.10012596954940002,-0.20929546728358694,True,0,0,0.3345881322398423,0.10012596954940002,-0.2344621626904423,True,0,0,0.2607752525097386,0.0,-0.2607752525097386,True,55,55,3.926134267274227,20239.969100124945,59521.81857510177,0,0,0.2991764134995312,0.06526121307264961,-0.23391520042688163,True,0,0,0.3330604181302422,0.06526121307264961,-0.2677992050575926,True,0,0,0.29584683104356485,0.0,-0.29584683104356485,True,0.12140973619929235,0.02067335175349365,-0.1007363844457987,0.1594651825392619,0.02067335175349365,-0.13879183078576823,0.11922199109976793,0.02067335175349365,-0.09854863934627428
N056,confirm80,faces_50k_150k,64716,472111,True,4.767377900003339,55,55,7.904302718182126,4026.935880271838,17474.149542498675,0,0,0.0,0.1298360060264139,0.1298360060264139,True,0,0,0.05408394901006384,0.1232610014122373,0.06917705240217345,True,0,0,0.0021054530295483887,0.1232610014122373,0.12115554838268891,True,55,55,2.1576615327275994,9410.41843533681,27146.21446807665,0,0,0.0,0.26945863613089893,0.26945863613089893,True,0,0,0.19047418792430815,0.2566025929872164,0.06612840506290824,True,0,0,0.009985940358160783,0.15023079755999474,0.14024485720183397,True,0.0,0.035834865429849046,0.035834865429849046,0.0,0.03024542290624565,0.03024542290624565,0.0,0.03024542290624565,0.03024542290624565
N057,confirm80,faces_50k_150k,58350,101339,True,7.230144600005588,55,55,16.52376388727174,1216.817957709803,31329.212035803776,0,0,0.10317201286485081,0.16660494226380318,0.06343292939895237,True,0,0,0.044059683831604565,0.0,-0.044059683831604565,True,0,0,0.035381906711719806,0.0,-0.035381906711719806,True,55,55,3.0835191236367048,4544.599539066767,57911.01595130369,0,0,0.05826982128590534,0.16752674894403397,0.10925692765812862,True,0,0,0.09222549108073069,0.0,-0.09222549108073069,True,0,0,0.06263475635181036,0.0,-0.06263475635181036,True,0.0008725823619748149,0.24027442405628208,0.23940184169430725,0.0,0.11733309250998449,0.11733309250998449,0.0,0.11733309250998449,0.11733309250998449
N058,confirm80,faces_50k_150k,50150,667995,True,45.242413200001465,55,55,32.56003693090937,311.31755735912856,36539.03025691162,0,0,0.008949551993477228,0.023145153795522642,0.014195601802045415,True,0,0,0.029215049056597178,0.0,-0.029215049056597178,True,0,0,0.00496966128938833,0.0,-0.00496966128938833,True,55,55,10.690815992727453,1016.9925754382275,113070.8088461868,0,0,0.02858181472375539,0.02034251431056062,-0.008239300413194768,True,0,0,0.027614445018059257,0.0,-0.027614445018059257,True,0,0,0.016605585080752012,0.0,-0.016605585080752012,True,0.0013433429697531296,0.06550584204299095,0.06416249907323782,0.0646136583648936,0.04363230260184167,-0.020981355763051934,0.0015620817235718616,0.04363230260184167,0.04207022087826981
N059,confirm80,faces_50k_150k,69998,69685,False,5.126116799990996,55,55,7.40101615272711,189.8590727680248,4256.913731816588,0,0,0.3592269299664416,0.21864178520874258,-0.14058514475769904,True,0,0,0.40111742914437387,0.0,-0.40111742914437387,True,0,0,0.2848039550700555,0.0,-0.2848039550700555,True,55,55,2.9226806654541924,693.9672123392883,8929.802707895047,0,0,0.48684677488555184,0.2677797783545696,-0.21906699653098222,True,0,0,0.5822454333638865,0.0,-0.5822454333638865,True,0,0,0.3528266807255172,0.0,-0.3528266807255172,True,0.207592165910656,0.15289410520618146,-0.05469806070447453,0.17955755347195446,0.07542893028922769,-0.10412862318272677,0.081361592565076,0.07542893028922769,-0.005932662275848308
N060,confirm80,faces_50k_150k,83648,466263,True,11.702050599997165,55,55,14.426143830908801,630.1155413507659,37471.88660151458,0,0,0.2595941658921369,0.017441786429107507,-0.2421523794630294,True,0,0,0.3062444916738992,0.017441786429107507,-0.28880270524479174,True,0,0,0.18346868834023067,0.0,-0.18346868834023067,True,55,55,2.631583063635679,2265.325979448607,70626.81622732327,0,0,0.34949754843153774,0.025957653422794772,-0.323539895008743,True,0,0,0.31453030873847876,0.025957653422794772,-0.288572655315684,True,0,0,0.2061772585199236,0.0,-0.2061772585199236,True,0.001186407573238219,0.03076129895402936,0.02957489138079114,0.00034596103295293806,0.03076129895402936,0.03041533792107642,0.0,0.027511936047642526,0.027511936047642526
N061,confirm80,faces_50k_150k,133414,548875,True,11.117093900000327,55,55,21.575423218182618,2494.2080086238266,31503.241178856875,0,0,0.05355869246844472,0.5243615295429845,0.47080283707453985,True,0,0,0.0,0.4180243409056873,0.4180243409056873,True,0,0,0.03675714326670831,0.3285845842920481,0.2918274410253398,True,55,55,4.9747387036361035,6181.239412130574,53910.35258011673,0,0,0.03575228173534113,0.7217033906722233,0.6859511089368822,True,0,0,0.0,0.6387650657908523,0.6387650657908523,True,0,0,0.04375985980109752,0.5304566277345181,0.48669676793342054,True,0.03221584435464743,0.03533717775782648,0.0031213334031790496,0.001773357358561217,0.006653289272328924,0.004879931913767707,0.0,0.006653289272328924,0.006653289272328924
N062,confirm80,faces_50k_150k,103860,471990,True,4.772976700012805,55,55,4.4001581654539965,321.7180683468349,26274.173414739187,0,0,0.024864597944540254,0.033411554844053705,0.008546956899513451,True,0,0,0.014195484141751995,0.0,-0.014195484141751995,True,0,0,0.012783682041432114,0.0,-0.012783682041432114,True,55,55,1.4845611781818495,1860.0900782323965,36724.182168962005,0,0,0.04473561760490708,0.08372985619875992,0.038994238593852835,True,0,0,0.019630374279062175,0.08327800948976605,0.06364763521070388,True,0,0,0.0,0.07176290539639975,0.07176290539639975,True,8.724860569666045e-05,0.008899631957528218,0.008812383351831557,0.0,0.0011177141018303483,0.0011177141018303483,0.0,0.0,0.0
N063,confirm80,faces_50k_150k,115676,1397588,True,7.270475299999816,55,55,15.677746721819064,4310.197387987597,23784.262778925207,0,0,0.14981972130749524,0.09257702220522225,-0.05724269910227299,True,0,0,0.2368412613507671,0.09257702220522225,-0.14426423914554487,True,0,0,0.0,0.05021653046934773,0.05021653046934773,True,55,55,3.3886357090917456,12376.476121606298,38189.07365942673,0,0,0.12095243863676763,0.12823560090720873,0.007283162270441096,True,0,0,0.21579466904882924,0.12823560090720873,-0.08755906814162051,True,0,0,0.0,0.09917905302554024,0.09917905302554024,True,0.02992332325295315,0.08940445328215127,0.05948113002919812,0.07361885161525795,0.08940445328215127,0.015785601666893315,0.03770893382191986,0.013412078040890146,-0.024296855781029712
N064,confirm80,faces_50k_150k,66354,488050,True,4.698750200012,55,55,6.621890579999308,754.1367575688455,19716.50241017422,0,0,0.09142376727808983,0.1057119582492926,0.014288190971202763,True,0,0,0.08257784083531797,0.1057119582492926,0.023134117413974628,True,0,0,0.0,0.06958147137986713,0.06958147137986713,True,55,55,1.8386462818188276,4278.684467232915,25468.59068445659,0,0,0.04512992352709938,0.18642059518474038,0.141290671657641,True,0,0,0.07559124723612631,0.15092969584453456,0.07533844860840824,True,0,0,0.0,0.06163314176989457,0.06163314176989457,True,0.05734896377875203,0.02015094097309083,-0.0371980228056612,0.006692555580405099,0.02015094097309083,0.013458385392685731,0.001929227954754764,0.02015094097309083,0.018221713018336066
N065,confirm80,faces_50k_150k,56794,932610,True,5.8215554999915184,55,55,9.086681223637159,2706.7284205281658,13510.701654596101,0,0,0.13389095062124173,0.0,-0.13389095062124173,True,0,0,0.27832539942699447,0.0,-0.27832539942699447,True,0,0,0.1619048709507453,0.0,-0.1619048709507453,True,55,55,2.337478190909182,7597.880779780965,23002.20721708798,0,0,0.2811972688568732,0.013520025574017472,-0.2676772432828557,True,0,0,0.2947827122145717,0.013520025574017472,-0.2812626866405542,True,0,0,0.2630467240993106,0.0,-0.2630467240993106,True,0.07977854878002016,0.05380432530098823,-0.025974223479031937,0.21870302052230609,0.05380432530098823,-0.16489869522131786,0.05072012857985529,0.011640149950376459,-0.03907997862947883
