holdout_id,thingi_id,relative_path,face_count,stratum,sha256,selection_rank,cross_slicer
N001,77929,thingi10k_strict/thingi_77929.stl,1560,faces_1k_10k,744d117d12d4d6433b82df1d41d175c634cf88a8ca126c8208ecc83e678d26ba,0269f8cf29df82baa70e9e027494a389a94b5a68bfc296c3f68e0647ae019395,false
N002,789073,thingi10k_strict/thingi_789073.stl,8970,faces_1k_10k,4eb9d629af1a02236e0df9e73ed75d4ae0f54afb909e0aaf0b78d8d9b392623f,029c302f5d7445c11d380164e7bc838cd122c64ea9c1b04d6fff02b9c52f8c2f,false
N003,97593,thingi10k_strict/thingi_97593.stl,1672,faces_1k_10k,d77d654ad96563277fc16c809e83d0a1f2048842700e02a92d9ac004014746f0,029eb113e210dc8e6990d4b828bd50c09c796225bd858333111959e6a5fbd6e7,false
N004,635751,thingi10k_strict/thingi_635751.stl,4648,faces_1k_10k,ade1ecd1a0cc3925cf7271cbd2cd9d0536ec2e7eacf3edecf627ee05eeac7aef,02a63759278e2d1cba55b5ea86eccebe7fd9f59db597a1bbd5ac2c247403a92e,false
N005,93540,thingi10k_strict/thingi_93540.stl,8314,faces_1k_10k,008a2aa686aee1474285fb97312777b988a1b4dc36b1a054c53646a5cb714792,02b830e7cc56f4b433a27fd470580fa9c3970b8aa68d232e57314739af606292,false
N006,269124,thingi10k_strict/thingi_269124.stl,1358,faces_1k_10k,e50fe4b1068e31475540f39aa1195d31ec81ba02805030d0a3860e5cac752fb4,02bd27462209113288ae11bd20b50ec33a923689fda6376f003dd972a9ac36cd,false
N007,1620055,thingi10k_strict/thingi_1620055.stl,4232,faces_1k_10k,8ca3413c6212526a2acb4fb889075613138a8074235898d39190cc628be17e29,02c3f1c66528470b2ec34ebf9912a2399783471d55959e4d20c1ccb70dc67146,false
N008,254558,thingi10k_strict/thingi_254558.stl,1252,faces_1k_10k,aa4a3c3a2f1efd4dd13336085b255de7873219788d3075618192839f74b41b61,0313d87e17095e1378a0517c492802fd49fce2f6e24b5942930bb00a9ffed6e0,false
N009,110357,thingi10k_strict/thingi_110357.stl,2474,faces_1k_10k,455f249aa761a20b3f1a12f8dd9f323fa3ad381b9f10af28d120f5aacb9dfb60,0340237cd2e91a86535e253a94438c4cdc6fb5b6232f59228f2c9405cc502161,false
N010,118920,thingi10k_strict/thingi_118920.stl,2878,faces_1k_10k,0bf3e85542a70701eb3dc74298cd343be3eeda697bcea11d9ac8a75207d5c505,0346175d60ee9c639dab3e286a03f6536fa2fa594cc707f89a545c80c7e127d6,false
N011,49548,thingi10k_strict/thingi_49548.stl,2344,faces_1k_10k,4e31fc8e886929cb0113815a9d44d1993a42150b155972854578599e39f07d45,0347c42c6af33f25bbe3c8926a43eba07441b8dbea4837bc1f7a3d6904649cf6,false
N012,63234,thingi10k_strict/thingi_63234.stl,1384,faces_1k_10k,3bc719bf76d3b3acba7c4322d67f8db204e8a8dc355fb86d44b6a21bb129c1c9,035da11521eb97bfa124778f8c8471b566a2eb3604168ac6f9d148f742b0296f,false
N013,116890,thingi10k_strict/thingi_116890.stl,1512,faces_1k_10k,7575ca4279b7f5d7d3095e4d77a004e76f278531dbc7cfd3d37f40cc405536ae,0393339a0c790fab8fb1921dd26b214daa6f74f76b0856547691735dd2f038ae,false
N014,186202,thingi10k_strict/thingi_186202.stl,6852,faces_1k_10k,5d8dae41a6cf5f695bddd7e9b65cd1389305d8ba8762d44476acdded884d5cb5,03d80d9c7192c74c6a3df06338d5fbb8e20d19085e1c9abbf842f7791c9f3fd9,false
N015,94674,thingi10k_strict/thingi_94674.stl,7678,faces_1k_10k,03219e8a4561e7b86087d60ab1e92fc713feb64b7cdef4d7ce3530804199f050,03e885d0b24afbba7572e022754cbb801a05311bbfe7ff24a82817a2807700db,false
N016,129914,thingi10k_strict/thingi_129914.stl,3522,faces_1k_10k,59be64940ad6c5a0ef0723b141da02df66c3d5b9605efa7cf16911cc25c0b7ed,03ea1335abe638c6276bf42f313e11a6121bf3fc8c108890e0ecf6b7d8cdcc96,false
N017,278456,thingi10k_strict/thingi_278456.stl,2730,faces_1k_10k,1e84707406a4d7477493427b7270a1e5e268f4db546becd57479a486240250cd,0435b5696737eb64eba5a37e77e30c4e962639f0ba45eea5971c357866404c60,false
