group,stage,mesh_count,triggered_count,mean_local_ratio,median_local_ratio,max_local_ratio,mean_local_budget_fraction,count_ratio_le_2_00
ALL,base_top_k,24,13,1.2831492257387491,1.1155894421991013,2.6128619942276337,0.033184406197005856,22
A,base_top_k,2,2,1.0394631038882567,1.0394631038882567,1.0789262077765136,0.03336760767642974,2
B,base_top_k,1,1,1.072830115004652,1.072830115004652,1.072830115004652,0.03304916322004896,1
C,base_top_k,8,3,1.5068748369081364,1.1403333257962238,2.6128619942276337,0.03320358959799265,6
D,base_top_k,6,4,1.100258240282473,1.0523237969395245,1.363701930476701,0.03317449477316268,6
E,base_top_k,7,3,1.2838967082841257,1.2155369524365036,1.7616112085120645,0.03313795496175926,7
ALL,adaptive_final,24,13,1.2188852058195179,1.025146651268077,2.6128619942276337,0.16505526098377596,22
A,adaptive_final,2,2,1.0338828253229246,1.0338828253229246,1.0677656506458493,0.16011233799617866,2
B,adaptive_final,1,1,1.0645161641243002,1.0645161641243002,1.0645161641243002,0.1579484503648683,1
C,adaptive_final,8,3,1.4096441210980284,1.0249556506831345,2.6128619942276337,0.17684218199676185,6
D,adaptive_final,6,4,1.0643155356375742,1.001987581033469,1.363701930476701,0.1541335113552945,6
E,adaptive_final,7,3,1.2082738488983724,1.1204116212733026,1.7616112085120645,0.16337351616393367,7
