top_k,mesh_count,mean_local_ratio,median_local_ratio,p80_local_ratio,max_local_ratio,mean_seed_ratio,median_seed_ratio,mean_local_ratio_without_happy,median_local_ratio_without_happy,max_local_ratio_without_happy,mean_local_cell_count,median_local_cell_count,mean_local_budget_fraction,median_local_budget_fraction,max_local_budget_fraction,count_ratio_le_1_25,count_ratio_le_1_50,count_ratio_le_2_00
1,5,1.2722476258801438,1.0691446984387574,1.3337260282666445,2.0663949003953817,1.5869513573052771,1.3391694624003267,1.0737108072513344,1.0561036187582642,1.1505588102344602,416.0,420.0,0.0031921179242025465,0.0032228113657814168,0.0032228113657814168,4,4,4
2,5,1.2523812753143484,1.0691446984387574,1.320275113951719,1.9991403288207539,1.5869513573052771,1.3391694624003267,1.065691511937747,1.0561036187582642,1.1505588102344602,828.0,840.0,0.0063535424068262205,0.0064456227315628336,0.0066067632998519045,4,4,5
3,5,1.2382874268792006,1.0691446984387574,1.2821028060695712,1.9688018523900144,1.5451821792297977,1.2832135682534769,1.0556588205014972,1.0561036187582642,1.1104280444894603,1132.2,1133.0,0.008687778638899333,0.008693917327215108,0.00966843409734425,4,4,5
4,5,1.2382874268792006,1.0691446984387574,1.2821028060695712,1.9688018523900144,1.5451821792297977,1.2832135682534769,1.0556588205014972,1.0561036187582642,1.1104280444894603,1403.2,1459.0,0.01076725930586782,0.011195432815893065,0.012591984407731679,4,4,5
5,5,1.2161210145381554,1.0271605384857836,1.249076129229009,1.9688018523900144,1.5217861888054465,1.2832135682534769,1.0279508050751907,1.0213292609310027,1.0691446984387574,1659.8,1577.0,0.012736243583152371,0.012100889342469747,0.015975936341802166,4,4,5
6,5,1.2161210145381554,1.0271605384857836,1.249076129229009,1.9688018523900144,1.4596342777498614,1.1052506794445995,1.0279508050751907,1.0213292609310027,1.0691446984387574,1916.2,1725.0,0.014703693188357977,0.01323654668088796,0.019359888275872653,4,4,5
7,5,1.2161210145381554,1.0271605384857836,1.249076129229009,1.9688018523900144,1.4596342777498614,1.1052506794445995,1.0279508050751907,1.0213292609310027,1.0691446984387574,2045.6,1808.0,0.015696626023434444,0.013873435593649527,0.02120149477060489,4,4,5
8,5,1.2021443503359888,1.0147593608041465,1.2154888012666298,1.9688018523900144,1.4423575764776013,1.1052506794445995,1.0104799748224824,1.0073796804020732,1.0271605384857836,2275.6,2146.0,0.017461498914219505,0.016467031407064094,0.021846057043761174,4,4,5
9,5,1.1765074466012222,1.0147593608041465,1.1898518975318633,1.840617333716181,1.4423575764776013,1.1052506794445995,1.0104799748224824,1.0073796804020732,1.0271605384857836,2430.4,2452.0,0.0186493351033218,0.0188150796878477,0.024915401201648237,4,4,5
10,5,1.1765074466012222,1.0147593608041465,1.1898518975318633,1.840617333716181,1.376454975717368,1.1052506794445995,1.0104799748224824,1.0073796804020732,1.0271605384857836,2645.8,2707.0,0.020302176932343985,0.020771786588500703,0.02788499167440397,4,4,5
