policy,mesh_count,mean_local_ratio,median_local_ratio,p80_local_ratio,max_local_ratio,mean_local_cell_count,mean_local_budget_fraction,median_local_budget_fraction,count_ratio_le_1_25,count_ratio_le_1_50,count_ratio_le_2_00,scope
SFTF top-20 local,26,3.5199621193267965,1.144779004797014,2.7435616673823238,34.03656384860017,4882.692307692308,0.03746665777343872,0.034338287766361525,15,17,18,ALL
Uniform matched local,26,1.2982207110173383,1.1254854471216935,1.363701930476701,2.6128619942276337,4867.7307692307695,0.037351852496763906,0.034184820558467166,18,22,23,ALL
Random matched local (median),26,1.3725010950874172,1.1978794423158994,1.6207414355468668,2.559987128517139,4860.615384615385,0.037297253586263034,0.034008333269388666,15,20,24,ALL
Hybrid 25:75 SFTF:uniform,26,1.5476683347771463,1.079630793800948,1.4250248925431632,7.696158411265375,4866.884615384615,0.03734535965335299,0.03424620744162491,18,22,23,ALL
Hybrid 50:50 SFTF:uniform,26,1.9574662637979272,1.1812197541818192,2.0549390511325845,13.926352627514152,4873.615384615385,0.03739700727139436,0.034299920964387935,14,19,20,ALL
Hybrid 75:25 SFTF:uniform,26,2.201657158664634,1.1812197541818192,2.186327709114947,16.694668675185028,4873.961538461538,0.03739966343460792,0.03428841092379586,14,18,20,ALL
Hybrid 25:75 Rtilde:uniform,26,1.594055015886044,1.0836882222975204,1.4791667683388925,7.696158411265375,4870.461538461538,0.03737280667322641,0.034261554162414345,18,21,22,ALL
Hybrid 50:50 Rtilde:uniform,26,1.966342611469531,1.1869710722400186,1.885563015380921,13.926352627514152,4871.423076923077,0.03738018490437517,0.034261554162414345,14,18,21,ALL
Hybrid 75:25 Rtilde:uniform,26,2.1661511163408553,1.1665634133183598,1.6621244595083648,16.694668675185028,4871.807692307692,0.037383136196834685,0.034184820558467166,14,19,21,ALL
SFTF top-20 local,2,1.0283026029022997,1.0283026029022997,1.0452841646436792,1.0566052058045992,5239.0,0.040200735107925815,0.040200735107925815,2,2,2,A
