policy,mesh_count,mean_local_ratio,median_local_ratio,p80_local_ratio,max_local_ratio,mean_local_cell_count,mean_local_budget_fraction,median_local_budget_fraction,count_ratio_le_1_25,count_ratio_le_1_50,count_ratio_le_2_00,scope
SFTF top-20 local,21,3.344267159330003,1.1631958252108923,2.7435616673823238,34.03656384860017,5218.952380952381,0.04004690250191743,0.04392231489936388,12,14,15,ALL
Uniform matched local,21,1.198052454992699,1.072830115004652,1.3544815571988833,2.0994653284243605,5206.190476190476,0.03994897580735627,0.0438455812954167,16,19,20,ALL
Random matched local (median),21,1.32303322783308,1.1560908478466498,1.4950956627353338,2.559987128517139,5199.380952380952,0.03989672387704938,0.04373815424989065,13,17,20,ALL
SFTF top-20 local,2,1.0283026029022997,1.0283026029022997,1.0452841646436792,1.0566052058045992,5239.0,0.040200735107925815,0.040200735107925815,2,2,2,A
Uniform matched local,2,1.0347946153632805,1.0347946153632805,1.0556713845812487,1.0695892307265609,5231.5,0.040143184904965434,0.040143184904965434,2,2,2,A
Random matched local (median),2,1.0562790391207515,1.0562790391207515,1.0642651540842372,1.0695892307265609,5208.5,0.03996669761588693,0.03996669761588693,2,2,2,A
SFTF top-20 local,1,1.0967742141907648,1.0967742141907648,1.0967742141907648,1.0967742141907648,4872.0,0.037384611843064436,0.037384611843064436,1,1,1,B
Uniform matched local,1,1.072830115004652,1.072830115004652,1.072830115004652,1.072830115004652,4832.0,0.037077677427275725,0.037077677427275725,1,1,1,B
Random matched local (median),1,1.1050881010797458,1.1050881010797458,1.1050881010797458,1.1050881010797458,4824.0,0.03701629054411799,0.03701629054411799,1,1,1,B
SFTF top-20 local,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,4424.8,0.033953085074546696,0.031291963689658614,4,4,5,C
Uniform matched local,5,1.0825884578734812,1.0713854605623532,1.1313767888704993,1.1698993884675477,4406.0,0.033808825899126004,0.031291963689658614,5,5,5,C
Random matched local (median),5,1.3781718802451703,1.2522072836012414,1.5680451496955436,1.8598430975363827,4404.0,0.03379347917833657,0.03100037599465934,2,4,5,C
SFTF top-20 local,6,6.8519076387554465,1.3522652795756898,2.190105502608383,34.03656384860017,6183.833333333333,0.047450781787534875,0.051062376746648666,2,4,4,D
Uniform matched local,6,1.0903366052433348,1.024546472855579,1.1292247552721497,1.363701930476701,6179.166666666667,0.04741497277235953,0.05103168330506979,5,6,6,D
Random matched local (median),6,1.145305091529986,1.1163100435574669,1.2366445069268033,1.2562188923662048,6174.0,0.04737532707698683,0.0509933165030962,5,6,6,D
SFTF top-20 local,7,2.8982716104413555,2.7435616673823238,4.8921128665497635,5.676225147316883,5003.0,0.03838982205477244,0.03969429332187445,3,3,3,E
Uniform matched local,7,1.4373886126125779,1.3544815571988833,1.7051223204774304,2.0994653284243605,4990.0,0.03829006836964112,0.03965592651990086,3,5,6,E
Random matched local (median),7,1.5433373792525233,1.3318209419021156,1.8390671324910408,2.559987128517139,4983.142857142857,0.038237451041220206,0.03949478595161179,3,4,6,E
