policy,mesh,trial,selected_windows,budget_cap_cells,local_cell_count,local_budget_fraction,unused_budget_cells,tomo_best_vss,local_best_yaw,local_best_pitch,local_best_vss,local_best_ratio,first_seed_yaw,first_seed_pitch,random_p20_ratio,random_p80_ratio
SFTF top-20 local,Group_C1_Bunny_69k.ply,0,20,4078,4078,0.031291963689658614,0,nan,230.00000867706282,54.0000015026869,4505.873711641169,1.0147593608041465,nan,nan,,
SFTF top-20 local,Group_C2_manikin.ply,0,20,2794,2794,0.02143936894284114,0,nan,190.00000301050196,9.000000250447817,2956.1209284569604,1.0,nan,nan,,
SFTF top-20 local,Group_C3_dragon_100k_1.5x.ply,0,20,6762,6762,0.05188726298908081,0,nan,130.99999567685308,257.9999866889366,28106.973190938144,1.0,nan,nan,,
SFTF top-20 local,Group_C4_happy_50k_0.75x.ply,0,20,5724,5724,0.04392231489936388,0,nan,274.0000053480149,82.00000000512816,14149.066830469557,1.6621244595083648,nan,nan,,
SFTF top-20 local,Group_C5_lucy_50k.ply,0,20,2766,2766,0.021224514851789045,0,nan,178.00000267657154,358.99998836115276,7605.40144502624,1.0,nan,nan,,
Uniform matched local,Group_C1_Bunny_69k.ply,0,10,4078,4078,0.031291963689658614,0,4440.337173209703,273.00001101201167,51.999999170302104,5194.7477435277515,1.1698993884675477,0.0,356.0000053531431,,
Random matched local (median),Group_C1_Bunny_69k.ply,-1,11,4078,4076,0.03127661696886918,2,4440.337173209703,281.9999873567974,48.00000133572169,4985.384704652896,1.1227491314694926,85.99999783970858,14.000000104994276,1.0113049856690801,1.3120318488550575
Uniform matched local,Group_C2_manikin.ply,0,7,2794,2763,0.02120149477060489,31,2956.1209284569604,7.999999938029066,173.99999801180195,3008.8407441604236,1.0178341201119203,0.0,176.00000034418676,,
Random matched local (median),Group_C2_manikin.ply,-1,8,2794,2778,0.021316595176525656,16,2956.1209284569604,204.00000567681718,12.999999792575526,5497.9211042735205,1.8598430975363827,132.99999800923788,358.99998836115276,1.0714585423591494,3.51279770400295
Uniform matched local,Group_C3_dragon_100k_1.5x.ply,0,16,6762,6723,0.05158800193368682,39,28106.973190938144,7.999999938029066,284.00000334956053,31528.888655102943,1.1217461389712373,0.0,356.0000053531431,,
Random matched local (median),Group_C3_dragon_100k_1.5x.ply,-1,17,6762,6730,0.05164171545644984,32,28106.973190938144,106.000000672989,259.0000083456965,33468.84546201091,1.1907666198935098,86.99999900590097,96.99999700744661,1.0390936523105603,1.4188663790734428
Uniform matched local,Group_C4_happy_50k_0.75x.ply,0,14,5724,5714,0.0438455812954167,10,8512.6398023495,342.9999970228311,30.99999858592387,9120.318515241639,1.0713854605623532,0.0,356.0000053531431,,
Random matched local (median),Group_C4_happy_50k_0.75x.ply,-1,17,5724,5724,0.04392231489936388,0,8512.6398023495,351.0000063523703,327.0000056845094,9841.384966511372,1.1560908478466498,30.000000834826057,28.99999966863366,1.0368294104759752,1.2185723231942363
Uniform matched local,Group_C5_lucy_50k.ply,0,7,2766,2752,0.021117087806262997,14,7605.40144502624,0.0,178.00000267657154,7849.361285690434,1.0320771812543488,0.0,176.00000034418676,,
Random matched local (median),Group_C5_lucy_50k.ply,-1,7,2766,2754,0.02113243452705243,12,7605.40144502624,345.0000130155942,318.9999963549702,11224.362475812928,1.4758408950461657,307.0000096814182,7.000000052497138,1.1168590427035745,1.8813864080434253
