mesh,group,route,initial_candidate_source,verification_count,escalated,final_yaw_deg,final_pitch_deg,final_support_tomo_vss,ratio_to_exhaustive_optimum,verified_grid_cells,grid_budget_fraction,cached_replay_wall_clock_s
Group_A2_sphere,A,sftf,calibrated SFTF top-20,50,True,180.00000500895632,0.0,337.92022092283264,1.0,6807,0.0522325642068431,3.784999996871473e-05
Group_A5_torus,A,uniform,farthest-point uniform axes,50,True,278.0000100127845,345.0000130155942,585.5201935965167,1.0677656506458493,20907,0.16042694577236208,3.784999996871473e-05
Group_B2_hook,B,uniform,farthest-point uniform axes,50,True,188.00000067811717,48.9999990868195,128.03998244695427,1.0645161641243002,20584,0.1579484503648683,3.784999996871473e-05
Group_C1_Bunny_69k,C,sftf,calibrated SFTF top-20,50,True,230.00000867706282,54.0000015026869,4505.873711641169,1.0147593608041465,11264,0.0864327314860997,3.784999996871473e-05
Group_C2_manikin,C,sftf,calibrated SFTF top-20,10,False,190.00000301050196,9.000000250447817,2956.1209284569604,1.0,2050,0.0157303888091712,3.784999996871473e-05
Group_C3_dragon_100k_1.5x,C,sftf,calibrated SFTF top-20,200,True,130.99999567685308,257.9999866889366,28106.973190938144,1.0,36787,0.2822799088404785,3.784999996871473e-05
Group_C4_happy_50k_0.75x,C,sftf,calibrated SFTF top-20,50,True,274.0000053480149,82.00000000512816,14149.066830469557,1.6621244595083648,13037,0.10003759946593412,3.784999996871473e-05
Group_C5_lucy_50k,C,sftf,calibrated SFTF top-20,10,False,178.00000267657154,358.99998836115276,7605.40144502624,1.0,1966,0.015085826536014917,3.784999996871473e-05
Group_C6_nefertiti_100k,C,uniform,farthest-point uniform axes,10,False,97.999998173639,209.99999901359323,271912.0445199427,2.5036124100654242,4348,0.03336377099623238,3.784999996871473e-05
Group_C7_liver_19k,C,uniform,farthest-point uniform axes,10,False,351.0000063523703,313.0000030181942,7574.480919798543,2.6128619942276337,4347,0.03335609763583766,3.784999996871473e-05
Group_C8_kidney_12k,C,sftf,calibrated SFTF top-20,10,False,30.99999858592387,183.99999601334758,1070.200781191676,1.1041639163839514,2369,0.018178190775086134,3.784999996871473e-05
Group_D10_37416,D,sftf,calibrated SFTF top-20,10,False,127.00000467246183,7.000000052497138,2100.600930284863,1.0542852468356594,1997,0.015323700708251165,3.784999996871473e-05
Group_D1_37009,D,uniform,farthest-point uniform axes,10,False,137.00000267400745,178.00000267657154,377.80000774328374,1.363701930476701,4328,0.03321030378833803,3.784999996871473e-05
Group_D6_37111,D,uniform,farthest-point uniform axes,50,True,336.0000093500518,30.000000834826057,6759.001203804962,1.018216121281805,20721,0.1589997007389446,3.784999996871473e-05
Group_D7_37137,D,uniform,farthest-point uniform axes,50,True,332.9999990212855,30.000000834826057,4442.1602871792375,1.0,20778,0.15943708228144352,3.784999996871473e-05
Group_D8_37402,D,uniform,farthest-point uniform axes,200,True,54.999999253784715,214.00000367836282,7554.828628035616,1.0,50077,0.3842588684862762,3.784999996871473e-05
Group_D9_37415,D,uniform,farthest-point uniform axes,50,True,214.99999801436604,358.99998836115276,9546.048385052642,1.0,20291,0.155700155769216,3.784999996871473e-05
Group_E10_65942,E,uniform,farthest-point uniform axes,10,False,333.9999933572887,318.9999963549702,1005.8801036235715,1.7616112085120645,4328,0.03321030378833803,3.784999996871473e-05
Group_E1_39507,E,uniform,farthest-point uniform axes,10,False,219.99999701513886,171.00000134341394,553.9201261583438,1.2543476554291781,4307,0.03304916322004896,3.784999996871473e-05
Group_E2_45809,E,sftf,calibrated SFTF top-20,10,False,183.00000167734436,178.00000267657154,39.000002559551525,1.0540540456206573,2186,0.0167739658228528,3.784999996871473e-05
Group_E2_790253,E,uniform,farthest-point uniform axes,50,True,22.000000043023345,338.9999923580615,74583.8051238446,1.1060095046375582,20456,0.15696626023434443,3.784999996871473e-05
Group_E4_439142,E,uniform,farthest-point uniform axes,200,True,86.99999900590097,221.99999934752364,19892.645276282445,1.0,59099,0.45348792596741894,3.784999996871473e-05
Group_E4_46012,E,sftf,calibrated SFTF top-20,10,False,356.0000053531431,173.00000367579872,14379.831385021367,1.085717509790608,2288,0.017556648583114003,3.784999996871473e-05
Group_E5_55280,E,uniform,farthest-point uniform axes,200,True,250.9999990161573,209.99999901359323,35028.122673349935,1.0,52235,0.4008179802180769,3.784999996871473e-05
Group_E7_61384,E,sftf,calibrated SFTF top-20,50,True,327.0000056845094,25.00000012650595,1148.3999815854158,1.1631958252108923,6788,0.05208677035934347,3.784999996871473e-05
Group_E9_82675,E,uniform,farthest-point uniform axes,10,False,239.00001234260523,187.00000634211395,10247.83706486974,1.2155369524365036,4285,0.032880349291365164,3.784999996871473e-05
