mesh,group,mesh_path,mesh_size_bytes,mesh_mtime_ns,selection_fingerprint,face_count,route,initial_candidate_source,ratio_valid,reference_optimum_yaw_deg,reference_optimum_pitch_deg,reference_optimum_vss,final_candidate_center_count,escalated,severe_escalation,trigger_reasons,final_yaw_deg,final_pitch_deg,final_support_tomo_vss,ratio_to_exhaustive_optimum,absolute_excess_support,normalized_excess_support,candidate_pool_size,router_nn_frac,router_nn_mean_deg,router_score_cv,local_window_grid_cell_count,local_window_budget_fraction,sign_resolution_raw_probe_count,sign_resolution_unique_grid_cell_count,sign_cells_already_in_local_window,corrected_total_unique_grid_cell_count,corrected_total_budget_fraction,corrected_added_unique_grid_cell_count,candidate_csv_io_wall_s,reference_grid_io_wall_s,mesh_load_or_metadata_wall_s,fresh_candidate_generation_wall_s,ranking_wall_s,routing_wall_s,seed_axis_to_grid_mapping_wall_s,cache_sign_resolution_lookup_wall_s,cache_base_verification_lookup_wall_s,cache_ave_decision_wall_s,cache_escalation_lookup_wall_s,historical_python_sftf_elapsed_s,historical_sftf_cpp_compute_ms,historical_exhaustive_tomo_cpu_dll_s,fresh_candidates_used,fresh_candidates_match_stored,fresh_candidates_max_score_delta,stored_candidate_route,fresh_route_matches_stored,cache_replay_policy_result_matches_existing_24,cache_replay_cell_count_matches_existing_24,cache_replay_matches_existing_24_record_output,physical_tomo_executed,cache_replay_selection_component_sum_s,evaluation_only_reference_io_wall_s,physical_sign_resolution_wall_s,physical_base_verification_wall_s,physical_ave_decision_wall_s,physical_escalation_verification_wall_s,physical_tomo_total_wall_s,physical_sign_unique_cell_count,physical_base_new_cell_count,physical_escalation_new_cell_count,physical_total_unique_cell_count,physical_triggered,physical_severe,physical_trigger_reasons,physical_final_candidate_center_count,physical_final_yaw_deg,physical_final_pitch_deg,physical_final_support_tomo_vss,physical_max_abs_cache_delta,physical_max_rel_cache_delta,physical_cache_validation_wall_s,physical_selection_direct_wall_s,physical_selection_direct_scope,physical_ratio_to_exhaustive_optimum,physical_absolute_excess_support,physical_normalized_excess_support,fresh_candidate_plus_physical_component_sum_s,physical_selection_component_sum_s,physical_selection_component_scope,physical_trigger_matches_cache,physical_severity_matches_cache,physical_k_matches_cache,physical_orientation_matches_cache,record_wall_s_before_checkpoint_io,checkpoint_output_io_wall_s,end_to_end_wall_s_including_checkpoint_io,cache_replay_selection_component_sum_including_checkpoint_io_s,physical_selection_component_sum_including_checkpoint_io_s,physical_selection_plus_primary_checkpoint_wall_s,checkpoint_timing_metadata_rewrite_wall_s
Group_A1_cube,A,D:\__SFTF_Projects(2026)\sftf_Mesh_Data\g5test\Group_A1_cube.stl,684,1782686141971751600,d9af6739ae5ffe219ca2884629d7e589bd22ae629846c0bd7c2fb9962f4e18b4,12,sftf,calibrated SFTF axes (up to 200),False,30.000000834826057,0.0,0.0,50,True,False,high_normalized_support;low_seed_to_local_gain,90.00000250447816,0.9999999922536332,1761.522051716639,,1761.522051716639,0.22019025646457988,1292,1.0,3.2959087510691374,0.6967784143338641,11980,0.09192685752871756,400,400,211,12169,0.09337712264331918,189,0.005086200002551777,0.0030426999983319547,0.0011269999995420221,0.14139999999679276,0.0009611999994376674,0.00022979999994277023,0.2723874999974214,0.00020869999934802763,0.00219219999780762,8.64000030560419e-05,0.007865200001106132,0.13,4.1,11.761288799985778,True,True,0.0,sftf,True,,,,True,0.2931868999985454,0.008128900000883732,0.45148170000175014,2.8100851999988663,0.00011520000043674372,6.997345399999176,10.258912299999793,400,3342,8427,12169,True,False,high_normalized_support;low_seed_to_local_gain,50,90.00000250447816,0.9999999922536332,1761.522051716639,15.51999040871624,0.008714581131350119,0.004545100000541424,10.731018200000108,"direct timer from mesh load through fresh candidate generation, ranking, routing, axis mapping, cold-batch physical TOMO sign/base/escalation, AVE decision, window construction, and final selection; excludes reference-grid I/O, stored-candidate validation, cache-delta validation, and checkpoint output",,1761.522051716639,0.22019025646457988,10.675132999993366,10.675132999993366,diagnostic sum of individually timed components; the direct selection timer is authoritative because it also captures orchestration overhead,True,True,True,True,10.792328100000304,0.0048406000023533124,10.801066999996692,0.2980275000008987,10.67997359999572,10.735858800002461,0.003782399999181507
Group_A2_sphere,A,D:\__SFTF_Projects(2026)\sftf_Mesh_Data\g5test\Group_A2_sphere.stl,148884,1782958787470104800,d9af6739ae5ffe219ca2884629d7e589bd22ae629846c0bd7c2fb9962f4e18b4,2976,sftf,calibrated SFTF axes (up to 200),True,0.0,0.0,337.92022092283264,50,True,False,high_normalized_support;low_seed_to_local_gain,180.00000500895632,0.0,337.92022092283264,1.0,0.0,0.0,1292,0.95,3.685985803936403,0.8617311207870585,6807,0.0522325642068431,400,400,196,7011,0.0537979297273655,204,0.005318399998941459,0.002521300000807969,0.004279199998563854,0.2975918999982241,0.001000299998850096,0.00010069999916595407,0.23341029999937746,0.0001241000027221162,0.0011980999988736585,0.00011049999739043415,0.005504800003109267,0.5780205999999453,27.8561,14.233300800027791,True,True,0.0,sftf,True,True,True,True,True,0.25356769999780226,0.007839699999749428,0.4997733000018343,1.9790548999990278,0.0001368000012007542,3.7765053999974043,6.255333599998266,400,2186,4425,7011,True,False,high_normalized_support;low_seed_to_local_gain,50,180.00000500895632,0.0,337.92022092283264,0.0,0.0,0.001620899998670211,6.804578000002948,"direct timer from mesh load through fresh candidate generation, ranking, routing, axis mapping, cold-batch physical TOMO sign/base/escalation, AVE decision, window construction, and final selection; excludes reference-grid I/O, stored-candidate validation, cache-delta validation, and checkpoint output",1.0,0.0,0.0,6.791852799993649,6.791852799993649,diagnostic sum of individually timed components; the direct selection timer is authoritative because it also captures orchestration overhead,True,True,True,True,6.852447000001121,0.004106400003365707,6.858984300000884,0.25767410000116797,6.795959199997014,6.808684400006314,0.004314699999667937
Group_A3_cylinder,A,D:\__SFTF_Projects(2026)\sftf_Mesh_Data\g5test\Group_A3_cylinder.stl,9684,1782686141973751800,d9af6739ae5ffe219ca2884629d7e589bd22ae629846c0bd7c2fb9962f4e18b4,192,sftf,calibrated SFTF axes (up to 200),False,30.000000834826057,0.0,0.0,50,True,False,high_normalized_support;low_seed_to_local_gain,358.99998836115276,178.99999701257477,841.9609266864367,,841.9609266864367,0.16444549349344467,1292,1.0,3.130519263837823,0.6003971318616153,5392,0.041374759248317614,400,400,183,5609,0.04303987845397135,217,0.004625199999281904,0.0028079000003344845,0.0011787000003096182,0.2449363000014273,0.0017241999994439539,0.0001343000003544148,0.5226335000006657,0.00014549999832524918,0.0012003000010736287,9.770000178832561e-05,0.00511969999934081,0.17,1.3,12.554910200007726,True,True,0.0,sftf,True,,,,True,0.539667000000918,0.007433099999616388,0.43490119999842136,1.786314000000857,0.00013100000069243833,2.632050399999571,4.853265599998849,400,2082,3127,5609,True,False,high_normalized_support;low_seed_to_local_gain,50,358.99998836115276,178.99999701257477,841.9609266864367,0.0,0.0,0.0025822000025073066,5.636101999996754,"direct timer from mesh load through fresh candidate generation, ranking, routing, axis mapping, cold-batch physical TOMO sign/base/escalation, AVE decision, window construction, and final selection; excludes reference-grid I/O, stored-candidate validation, cache-delta validation, and checkpoint output",,841.9609266864367,0.16444549349344467,5.624003600001743,5.624003600001743,diagnostic sum of individually timed components; the direct selection timer is authoritative because it also captures orchestration overhead,True,True,True,True,5.6939474000027985,0.0046608999982709065,5.701307699997415,0.544327899999189,5.6286645000000135,5.640762899995025,0.0037701000001106877
Group_A4_cone,A,D:\__SFTF_Projects(2026)\sftf_Mesh_Data\g5test\Group_A4_cone.stl,4884,1782686141974752700,d9af6739ae5ffe219ca2884629d7e589bd22ae629846c0bd7c2fb9962f4e18b4,96,uniform,first 200 farthest-point uniform axes,False,30.000000834826057,0.0,0.0,10,False,False,boundary_local_minimum;high_seed_to_local_gain,0.0,166.00000234264112,0.0,,0.0,0.0,1292,0.5,5.426791322530681,0.7929340501496853,4285,0.032880349291365164,400,400,20,4665,0.03579622624135788,380,0.004940800001349999,0.0036925000022165477,0.0011099000003014226,0.14564299999983632,0.00035209999987273477,0.00010099999781232327,0.4259334999987914,0.00014369999917107634,0.001432300003216369,3.650000144261867e-05,0.0,0.12,0.8,12.270083100011107,True,True,0.0,uniform,True,,,,True,0.43774230000417447,0.008633300003566546,0.4858624000007694,3.6142791000020225,4.199999966658652e-05,0.0,4.100141500002792,400,4265,0,4665,False,False,boundary_local_minimum;high_seed_to_local_gain,10,0.0,166.00000234264112,0.0,0.0,0.0,0.001162500000646105,4.680675499999779,"direct timer from mesh load through fresh candidate generation, ranking, routing, axis mapping, cold-batch physical TOMO sign/base/escalation, AVE decision, window construction, and final selection; excludes reference-grid I/O, stored-candidate validation, cache-delta validation, and checkpoint output",,0.0,0.0,4.673322999999073,4.673322999999073,diagnostic sum of individually timed components; the direct selection timer is authoritative because it also captures orchestration overhead,True,True,True,True,4.725746000000072,0.00520650000180467,4.733301199998095,0.44294880000597914,4.678529500000877,4.685882000001584,0.005273499999020714
Group_A5_torus,A,D:\__SFTF_Projects(2026)\sftf_Mesh_Data\g5test\Group_A5_torus.stl,115284,1782686141976257600,d9af6739ae5ffe219ca2884629d7e589bd22ae629846c0bd7c2fb9962f4e18b4,2304,uniform,first 200 farthest-point uniform axes,True,178.00000267657154,84.00000233751295,548.3602073566973,50,True,False,high_normalized_support;low_seed_to_local_gain,278.0000100127845,345.0000130155942,585.5201935965167,1.0677656506458493,37.15998623981943,0.004536131132790458,1292,0.65,5.129383139324468,0.5668704716481322,20907,0.16042694577236208,400,400,108,21199,0.16266756700761964,292,0.005218300000706222,0.0035486000015225727,0.003617300000769319,0.6233744999990449,0.00036669999826699495,0.00010639999891282059,0.4566306999986409,0.00015069999790284783,0.001497400000516791,8.879999950295314e-05,0.00747860000046785,0.45,14.2,14.263744700001553,True,True,0.0,uniform,True,True,True,True,True,0.4787034999972093,0.008766900002228795,0.49342519999845535,3.754063000000315,9.520000094198622e-05,13.847672200001398,18.095160400000168,400,4327,16472,21199,True,False,high_normalized_support;low_seed_to_local_gain,50,278.0000100127845,345.0000130155942,585.5201935965167,0.0,0.0,0.005203200002142694,19.20386950000102,"direct timer from mesh load through fresh candidate generation, ranking, routing, axis mapping, cold-batch physical TOMO sign/base/escalation, AVE decision, window construction, and final selection; excludes reference-grid I/O, stored-candidate validation, cache-delta validation, and checkpoint output",1.0677656506458493,37.15998623981943,0.004536131132790458,19.179351199996745,19.179351199996745,diagnostic sum of individually timed components; the direct selection timer is authoritative because it also captures orchestration overhead,True,True,True,True,19.25780870000017,0.005197399997996399,19.266398700001446,0.4839008999952057,19.18454859999474,19.209066899999016,0.004782200001500314
Group_B1_u_bracket,B,D:\__SFTF_Projects(2026)\sftf_Mesh_Data\g5test\Group_B1_u_bracket.stl,1484,1782686141977265600,d9af6739ae5ffe219ca2884629d7e589bd22ae629846c0bd7c2fb9962f4e18b4,28,uniform,first 200 farthest-point uniform axes,False,30.000000834826057,0.0,0.0,10,False,False,boundary_local_minimum;high_seed_to_local_gain,78.00000217054775,207.99999668120842,0.0,,0.0,0.0,1292,0.75,4.22290494384713,1.5013729598722676,4327,0.03320263042794331,400,400,21,4706,0.0361108340175413,379,0.005227900001045782,0.0040103999999701045,0.0014221999990695622,0.19616599999790196,0.000678100001096027,9.059999865712598e-05,0.43996550000156276,0.0001311999985773582,0.0015004999986558687,2.4199998733820394e-05,0.0,0.15,3.9,12.668479199986905,True,True,0.0,uniform,True,,,,True,0.4530505999973684,0.009238300001015887,0.4860895000019809,3.622205899999244,6.230000144569203e-05,0.0,4.108295400001225,400,4306,0,4706,False,False,boundary_local_minimum;high_seed_to_local_gain,10,78.00000217054775,207.99999668120842,0.0,0.0,0.0,0.0013897000026190653,4.75322949999827,"direct timer from mesh load through fresh candidate generation, ranking, routing, axis mapping, cold-batch physical TOMO sign/base/escalation, AVE decision, window construction, and final selection; excludes reference-grid I/O, stored-candidate validation, cache-delta validation, and checkpoint output",,0.0,0.0,4.746680100000958,4.746680100000958,diagnostic sum of individually timed components; the direct selection timer is authoritative because it also captures orchestration overhead,True,True,True,True,4.795632800000021,0.004917199999908917,4.802695799997309,0.4579677999972773,4.751597300000867,4.7581466999981785,0.004820899997866945
Group_B2_hook,B,D:\__SFTF_Projects(2026)\sftf_Mesh_Data\g5test\Group_B2_hook.stl,78084,1782686141977265600,d9af6739ae5ffe219ca2884629d7e589bd22ae629846c0bd7c2fb9962f4e18b4,1560,uniform,first 200 farthest-point uniform axes,True,216.0000060107476,51.999999170302104,120.27997954571542,50,True,False,high_normalized_support;low_seed_to_local_gain,188.00000067811717,48.9999990868195,128.03998244695427,1.0645161641243002,7.760002901238849,0.002327715295975779,1292,0.7,4.745781897653167,0.7167937801859358,20584,0.1579484503648683,400,400,109,20875,0.16018139823973113,291,0.005486800000653602,0.004354699998657452,0.0024531000017304905,0.7303497000029893,0.0008296000014524907,9.590000263415277e-05,0.329164499999024,0.00013770000077784061,0.0013918000004196074,7.959999857121147e-05,0.007142500002373708,0.58,15.8,13.358284499961883,True,True,0.0,uniform,True,True,True,True,True,0.35113620000629453,0.009841499999311054,0.4877357999976084,3.674419399998442,0.00013939999917056412,13.583636400002433,17.745791599998483,400,4285,16190,20875,True,False,high_normalized_support;low_seed_to_local_gain,50,188.00000067811717,48.9999990868195,128.03998244695427,0.0,0.0,0.0046689000009791926,18.837768599998526,"direct timer from mesh load through fresh candidate generation, ranking, routing, axis mapping, cold-batch physical TOMO sign/base/escalation, AVE decision, window construction, and final selection; excludes reference-grid I/O, stored-candidate validation, cache-delta validation, and checkpoint output",1.0645161641243002,7.760002901238849,0.002327715295975779,18.808823800005484,18.808823800005484,diagnostic sum of individually timed components; the direct selection timer is authoritative because it also captures orchestration overhead,True,True,True,True,18.8920564,0.005594999998720596,18.900844399999187,0.3567312000050151,18.814418800004205,18.843363599997247,0.004834600000322098
Group_B3_c_clamp,B,D:\__SFTF_Projects(2026)\sftf_Mesh_Data\g5test\Group_B3_c_clamp.stl,1484,1782686141979775600,d9af6739ae5ffe219ca2884629d7e589bd22ae629846c0bd7c2fb9962f4e18b4,28,uniform,first 200 farthest-point uniform axes,False,30.000000834826057,0.0,0.0,10,False,False,boundary_local_minimum;high_seed_to_local_gain,78.00000217054775,207.99999668120842,0.0,,0.0,0.0,1292,0.65,4.726038088310614,2.4962856688364585,4327,0.03320263042794331,400,400,21,4706,0.0361108340175413,379,0.0073024999983317684,0.0027808999984699767,0.0010579000008874573,0.19456609999906505,0.0004891999997198582,8.86999987415038e-05,0.3795024999999441,0.0002330999996047467,0.0018149999996239785,3.0499999411404133e-05,0.0,0.17,0.8,12.85978780000005,True,True,0.0,uniform,True,,,,True,0.3933002999947348,0.010083399996801745,0.4460763999995834,3.682121099998767,9.549999958835542e-05,0.0,4.12819749999835,400,4306,0,4706,False,False,boundary_local_minimum;high_seed_to_local_gain,10,78.00000217054775,207.99999668120842,0.0,0.0,0.0,0.00201520000337041,4.712978299998213,"direct timer from mesh load through fresh candidate generation, ranking, routing, axis mapping, cold-batch physical TOMO sign/base/escalation, AVE decision, window construction, and final selection; excludes reference-grid I/O, stored-candidate validation, cache-delta validation, and checkpoint output",,0.0,0.0,4.703997399996297,4.703997399996297,diagnostic sum of individually timed components; the direct selection timer is authoritative because it also captures orchestration overhead,True,True,True,True,4.764156400000502,0.0058237000012013596,4.773198599999887,0.3991239999959362,4.709821099997498,4.718801999999414,0.004527000000962289
Group_B4_pipe_elbow,B,D:\__SFTF_Projects(2026)\sftf_Mesh_Data\g5test\Group_B4_pipe_elbow.stl,120084,1782959788170059900,d9af6739ae5ffe219ca2884629d7e589bd22ae629846c0bd7c2fb9962f4e18b4,2400,uniform,first 200 farthest-point uniform axes,False,22.000000043023345,25.00000012650595,0.0,10,False,False,boundary_local_minimum;high_seed_to_local_gain,9.000000250447817,216.0000060107476,0.0,,0.0,0.0,1292,0.55,5.936345999733098,0.2693544868663231,4305,0.03303381649925952,400,400,19,4686,0.03595736680964695,381,0.006725299997924594,0.003586499999073567,0.0025625000016589183,0.6576832000027935,0.0003949999991164077,8.81000014487654e-05,0.43649830000140355,0.00013869999747839756,0.0014440000013564713,5.199999941396527e-05,0.0,1.6092670999987604,41.0773,13.931456199963577,True,False,0.0005662277304415708,uniform,True,,,,True,0.45149039999887464,0.010311799996998161,0.518642799997906,3.7238279999983206,7.540000297012739e-05,0.0,4.242470799996227,400,4286,0,4686,False,False,boundary_local_minimum;high_seed_to_local_gain,10,9.000000250447817,216.0000060107476,0.0,0.0,0.0,0.0011473999984445982,5.347311000001355,"direct timer from mesh load through fresh candidate generation, ranking, routing, axis mapping, cold-batch physical TOMO sign/base/escalation, AVE decision, window construction, and final selection; excludes reference-grid I/O, stored-candidate validation, cache-delta validation, and checkpoint output",,0.0,0.0,5.339773300005618,5.339773300005618,diagnostic sum of individually timed components; the direct selection timer is authoritative because it also captures orchestration overhead,True,True,True,True,5.394028200000321,0.006419400000595488,5.402579199999309,0.4579097999994701,5.346192700006213,5.35373040000195,0.006001499998092186
Group_B5_hollow_box,B,D:\__SFTF_Projects(2026)\sftf_Mesh_Data\g5test\Group_B5_hollow_box.stl,1284,1782686141981775800,d9af6739ae5ffe219ca2884629d7e589bd22ae629846c0bd7c2fb9962f4e18b4,24,uniform,first 200 farthest-point uniform axes,False,30.000000834826057,0.0,0.0,10,False,False,boundary_local_minimum;high_seed_to_local_gain,78.00000217054775,207.99999668120842,0.0,,0.0,0.0,1292,0.1,10.419739914121191,0.37141182010489326,4305,0.03303381649925952,400,400,20,4685,0.03594969344925223,380,0.006353199998557102,0.002706499999476364,0.0009988000019802712,0.2905333000016981,0.0002496999986760784,8.22000001790002e-05,0.44059529999867664,0.0001295000001846347,0.0013428000020212494,2.359999780310318e-05,0.0,0.21,0.9,13.271268900018185,True,True,0.0,uniform,True,,,,True,0.45248159999755444,0.009059699998033466,0.47819799999706447,3.7063194000002113,5.2600000344682485e-05,0.0,4.184517399997276,400,4285,0,4685,False,False,boundary_local_minimum;high_seed_to_local_gain,10,78.00000217054775,207.99999668120842,0.0,0.0,0.0,0.0019185999990440905,4.924693500001013,"direct timer from mesh load through fresh candidate generation, ranking, routing, axis mapping, cold-batch physical TOMO sign/base/escalation, AVE decision, window construction, and final selection; excludes reference-grid I/O, stored-candidate validation, cache-delta validation, and checkpoint output",,0.0,0.0,4.9170292999988305,4.9170292999988305,diagnostic sum of individually timed components; the direct selection timer is authoritative because it also captures orchestration overhead,True,True,True,True,4.972957199999655,0.00619889999870793,4.981726699999854,0.45868049999626237,4.9232281999975385,4.9308923999997205,0.006200700001500081
