mesh,metric,key,value
Group_C1_Bunny_69k.ply,pearson,J_raw,0.4206411379825993
Group_C1_Bunny_69k.ply,spearman,J_raw,0.36944540491424416
Group_C1_Bunny_69k.ply,pearson,R_rayleigh,0.4660947664091255
Group_C1_Bunny_69k.ply,spearman,R_rayleigh,0.36233235762458027
Group_C1_Bunny_69k.ply,pearson,P_pair,-0.009401878732582959
Group_C1_Bunny_69k.ply,spearman,P_pair,-0.0893565648998104
Group_C1_Bunny_69k.ply,pearson,B_bed,0.41857458101771594
Group_C1_Bunny_69k.ply,spearman,B_bed,0.4186933630427451
Group_C1_Bunny_69k.ply,pearson,H_hit,0.2640459751719402
Group_C1_Bunny_69k.ply,spearman,H_hit,0.24246689923482528
Group_C1_Bunny_69k.ply,pearson,S_nuclear,-0.03608601435064029
Group_C1_Bunny_69k.ply,spearman,S_nuclear,-0.07396461949662851
Group_C1_Bunny_69k.ply,pearson,sigma1,-0.06315403101484945
Group_C1_Bunny_69k.ply,spearman,sigma1,-0.08941511289262837
Group_C1_Bunny_69k.ply,ablation_best3_ratio,J = R+P+B,1.3813697599177108
Group_C1_Bunny_69k.ply,ablation_spearman,J = R+P+B,0.36944540491424416
Group_C1_Bunny_69k.ply,ablation_best3_ratio,old J (+0.05S+0.05s1),1.3813697599177108
Group_C1_Bunny_69k.ply,ablation_spearman,old J (+0.05S+0.05s1),0.3655245561597855
Group_C1_Bunny_69k.ply,ablation_best3_ratio,T_rank_tuned,1.1751043590047385
Group_C1_Bunny_69k.ply,ablation_spearman,T_rank_tuned,0.619909143227706
Group_C1_Bunny_69k.ply,ablation_best3_ratio,bed_only (B),1.4325273050726441
Group_C1_Bunny_69k.ply,ablation_spearman,bed_only (B),0.4186933630427451
Group_C1_Bunny_69k.ply,ablation_best3_ratio,tensor_only (0.05S+0.05s1),3.1617084213623228
Group_C1_Bunny_69k.ply,ablation_spearman,tensor_only (0.05S+0.05s1),-0.08088236399775606
Group_C1_Bunny_69k.ply,ablation_best3_ratio,pair_only (P),3.1617084213623228
Group_C1_Bunny_69k.ply,ablation_spearman,pair_only (P),-0.0893565648998104
Group_C2_manikin.ply,pearson,J_raw,0.6075287473004485
Group_C2_manikin.ply,spearman,J_raw,0.35317421931322324
Group_C2_manikin.ply,pearson,R_rayleigh,0.46235546992514265
Group_C2_manikin.ply,spearman,R_rayleigh,-0.34969180660313265
Group_C2_manikin.ply,pearson,P_pair,0.3436780426542898
Group_C2_manikin.ply,spearman,P_pair,-0.40899195525596205
Group_C2_manikin.ply,pearson,B_bed,0.6815743096126775
Group_C2_manikin.ply,spearman,B_bed,0.7385211357121859
Group_C2_manikin.ply,pearson,H_hit,-0.3024736495918693
Group_C2_manikin.ply,spearman,H_hit,-0.5833052292997825
Group_C2_manikin.ply,pearson,S_nuclear,0.38783529734165495
Group_C2_manikin.ply,spearman,S_nuclear,-0.3907473399376512
Group_C2_manikin.ply,pearson,sigma1,0.4349751379977136
Group_C2_manikin.ply,spearman,sigma1,-0.35732381908340527
Group_C2_manikin.ply,ablation_best3_ratio,J = R+P+B,5.01784703451211
Group_C2_manikin.ply,ablation_spearman,J = R+P+B,0.35317421931322324
