group,stage,mesh_count,triggered_count,mean_local_ratio,median_local_ratio,p80_local_ratio,max_local_ratio,mean_local_cell_count,mean_local_budget_fraction,count_ratio_le_1_25,count_ratio_le_1_50,count_ratio_le_2_00
ALL,base_top_k,16,7,2.068690187775028,1.147423958076781,1.4837370206334828,12.438874406324738,358.625,0.02449457004302985,11,13,13
ALL,adaptive_final,16,7,1.1378508252166646,1.0943366294360128,1.2304452786975464,1.614731851092839,725.5,0.04955262618673588,14,15,16
ALL,happy_method,7,7,1.1795486242373554,1.067560267877705,1.3256789238350222,1.614731851092839,1232.4285714285713,0.08417652970620663,5,6,7
A,base_top_k,1,1,1.067560267877705,1.067560267877705,1.067560267877705,1.067560267877705,393.0,0.02684242879584728,1,1,1
A,adaptive_final,1,1,1.067560267877705,1.067560267877705,1.067560267877705,1.067560267877705,1061.0,0.072467727614234,1,1,1
A,happy_method,1,1,1.067560267877705,1.067560267877705,1.067560267877705,1.067560267877705,1061.0,0.072467727614234,1,1,1
B,base_top_k,1,0,1.0,1.0,1.0,1.0,401.0,0.027388839560139336,1,1,1
B,adaptive_final,1,0,1.0,1.0,1.0,1.0,401.0,0.027388839560139336,1,1,1
C,base_top_k,5,1,1.5412641851303015,1.2304452786975464,1.6360589574399982,3.241069266871952,324.0,0.022129635953828292,4,4,4
C,adaptive_final,5,1,1.093050331755911,1.0,1.2313174989744389,1.2348063800820093,450.4,0.030762926029642784,5,5,5
C,happy_method,1,1,1.0,1.0,1.0,1.0,982.0,0.06707192131684994,1,1,1
D,base_top_k,5,3,3.7741567109713814,1.4837370206334828,4.610434250661046,12.438874406324738,407.4,0.027825968171572978,2,3,3
D,adaptive_final,5,3,1.2551617572538087,1.1491258847307568,1.4072563602424992,1.614731851092839,1054.6,0.07203059900280036,3,4,5
D,happy_method,3,3,1.3269869567051609,1.3553874875299141,1.510994105667669,1.614731851092839,1470.6666666666667,0.10044851216902306,1,2,3
E,base_top_k,4,2,1.1135945640035825,1.0943366294360128,1.1627008532351408,1.264230434529458,321.75,0.02197595792637115,3,4,4
E,adaptive_final,4,2,1.0992481226350814,1.0943366294360128,1.139746547045539,1.2068446690554535,655.25,0.04475445666279626,4,4,4
E,happy_method,2,2,1.10415961583415,1.10415961583415,1.165770647766932,1.2068446690554535,1086.0,0.07417526125264667,2,2,2
