source,outer_key,name,group,oracle,untuned_J,raw_R+B,raw_R+P+B,selected_model,selected_alpha,selected,B_nested,B_alpha,B_inner_score,R+B_nested,R+B_alpha,R+B_inner_score,R+P+B_nested,R+P+B_alpha,R+P+B_inner_score,full7_nested,full7_alpha,full7_inner_score
g5_1deg_60deg,A,Group_A5_torus_1deg_60deg,A,1.0351394305604535,1.2230900063191332,1.2230900063191332,1.2230900063191332,B,0.01,1.2454349947580965,1.2454349947580965,0.01,11.021064399028965,1.2661581277611533,0.01,12.837703412785165,1.2661581277611533,100.0,12.282041735080803,1.2661581277611533,0.01,11.72137222227417
g5_1deg_60deg,B,Group_B2_hook_1deg_60deg,B,1.2580447563700055,3.5164021008808493,1.6907224080251475,3.5164021008808493,B,0.01,1.6907224080251475,1.6907224080251475,0.01,10.99137857147783,3.5164021008808493,10.0,12.916559519371985,3.5164021008808493,100.0,12.108291559638932,3.2361771720727983,10.0,11.51057897726966
g5_1deg_60deg,C,Group_C1_Bunny_69k_1deg_60deg,C,1.457441746332514,2.4659405565667845,2.566746092091383,2.4659405565667845,B,0.01,2.566746092091383,2.566746092091383,0.01,12.781744960803145,2.4659405565667845,10.0,15.173854758778095,2.4659405565667845,100.0,13.90556693317502,2.513182515040656,0.01,12.788113341296333
g5_1deg_60deg,C,Group_C2_manikin_1deg_60deg,C,1.1269289689726742,3.9852887907671564,2.8888294752984414,3.9852887907671564,B,0.01,2.6022170458601592,2.6022170458601592,0.01,12.781744960803145,5.29386428354243,10.0,15.173854758778095,3.9852887907671564,100.0,13.90556693317502,4.9828978755469775,0.01,12.788113341296333
g5_1deg_60deg,C,Group_C3_dragon_100k_1.5x_1deg_60deg,C,1.288711162780426,2.008517699453845,1.7019625688698072,2.008517699453845,B,0.01,1.9390865202570204,1.9390865202570204,0.01,12.781744960803145,2.033907665494274,10.0,15.173854758778095,1.9510208101712034,100.0,13.90556693317502,2.074898207527202,0.01,12.788113341296333
g5_1deg_60deg,C,Group_C4_happy_50k_0.75x_1deg_60deg,C,4.348005783042627,11.150796567484377,16.703544445480834,11.150796567484377,B,0.01,16.035989180113795,16.035989180113795,0.01,12.781744960803145,10.623746851972765,10.0,15.173854758778095,10.623746851972765,100.0,13.90556693317502,11.123162951217237,0.01,12.788113341296333
g5_1deg_60deg,C,Group_C5_lucy_50k_1deg_60deg,C,1.0193965361246327,2.8181675730355846,2.8181675730355846,2.8181675730355846,B,0.01,2.8181675730355846,2.8181675730355846,0.01,12.781744960803145,3.956626926502639,10.0,15.173854758778095,3.956626926502639,100.0,13.90556693317502,2.8181675730355846,0.01,12.788113341296333
g5_1deg_60deg,D,Group_D3_37011_1deg_60deg,D,2.8091851259580336,132.82869518103345,118.97011620016518,132.82869518103345,R+P+B,100.0,137.72927391992764,118.97011620016518,0.01,3.239150918291823,146.46571174573785,0.01,3.020103234625587,137.72927391992764,100.0,2.988509303874868,128.73183063917983,0.01,3.5228478623434296
g5_1deg_60deg,D,Group_D6_37111_1deg_60deg,D,1.0340623902825437,2.1271076666217894,5.500881394782622,2.1271076666217894,R+P+B,100.0,5.845329379291355,3.442648623304196,0.01,3.239150918291823,5.602258953604377,0.01,3.020103234625587,5.845329379291355,100.0,2.988509303874868,4.970864323279483,0.01,3.5228478623434296
g5_1deg_60deg,D,Group_D7_37137_1deg_60deg,D,1.1572065449580875,4.140476769760679,4.450166424177432,4.140476769760679,R+P+B,100.0,4.427305397247178,5.4141427679583325,0.01,3.239150918291823,4.450166424177432,0.01,3.020103234625587,4.427305397247178,100.0,2.988509303874868,5.164764161424908,0.01,3.5228478623434296
g5_1deg_60deg,D,Group_D8_37402_1deg_60deg,D,1.2545447877170333,1.8438155119472424,1.839711765680895,1.8438155119472424,R+P+B,100.0,1.839711765680895,1.8433332104880003,0.01,3.239150918291823,1.839711765680895,0.01,3.020103234625587,1.839711765680895,100.0,2.988509303874868,1.7775726794828175,0.01,3.5228478623434296
g5_1deg_60deg,D,Group_D9_37415_1deg_60deg,D,1.0085812908404193,1.8139513603960034,1.3798463371937815,1.8139513603960034,R+P+B,100.0,1.3798463371937815,1.2605000770668233,0.01,3.239150918291823,1.3798463371937815,0.01,3.020103234625587,1.3798463371937815,100.0,2.988509303874868,1.2831552356801181,0.01,3.5228478623434296
g5_1deg_60deg,E,Group_E2_45809_1deg_60deg,E,1.0701761739224833,1.1703069650649354,1.1703069650649354,1.1703069650649354,B,0.01,1.1703069650649354,1.1703069650649354,0.01,13.31909205776031,1.170430157010731,0.01,15.890571581184934,1.170430157010731,100.0,15.734287906982681,1.1703069650649354,0.01,13.37406421357914
g5_1deg_60deg,E,Group_E3_45811_1deg_60deg,E,1.0304634272880604,2.4753693868921194,2.4753693868921194,2.4753693868921194,B,0.01,2.4753693868921194,2.4753693868921194,0.01,13.31909205776031,2.5043416281328237,0.01,15.890571581184934,2.3236006680798593,100.0,15.734287906982681,2.4910425349203313,0.01,13.37406421357914
g5_1deg_60deg,E,Group_E4_46012_1deg_60deg,E,1.2084205010134497,1.3508660398915195,1.3508660398915195,1.3508660398915195,B,0.01,1.3508660398915195,1.3508660398915195,0.01,13.31909205776031,1.321496619048167,0.01,15.890571581184934,1.321496619048167,100.0,15.734287906982681,1.3255838488862473,0.01,13.37406421357914
g5_1deg_60deg,E,Group_E5_55280_1deg_60deg,E,1.1395633022542104,1.6734790128219452,1.7357538952202918,1.6734790128219452,B,0.01,1.7357538952202918,1.7357538952202918,0.01,13.31909205776031,1.5816675130496338,0.01,15.890571581184934,1.5816675130496338,100.0,15.734287906982681,1.424092673162838,0.01,13.37406421357914
