stem,family,group_id,angle_step,critical_angle,grid_path,candidate_path,has_candidate,candidate_count,tomo_best_vss,usable,skip_reason
Group_A1_cube,A,A1,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_A1_cube_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_A1_cube_candidates.csv,True,1292,0.0,False,nonpositive_tomo_best
Group_A2_sphere,A,A2,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_A2_sphere_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_A2_sphere_candidates.csv,True,1292,0.0,False,nonpositive_tomo_best
Group_A3_cylinder,A,A3,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_A3_cylinder_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_A3_cylinder_candidates.csv,True,1292,0.0,False,nonpositive_tomo_best
Group_A4_cone,A,A4,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_A4_cone_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_A4_cone_candidates.csv,True,1292,0.0,False,nonpositive_tomo_best
Group_A5_torus,A,A5,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_A5_torus_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_A5_torus_candidates.csv,True,1292,665.9202092935232,True,usable
Group_B1_u_bracket,B,B1,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_B1_u_bracket_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_B1_u_bracket_candidates.csv,True,1292,0.0,False,nonpositive_tomo_best
Group_B2_hook,B,B2,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_B2_hook_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_B2_hook_candidates.csv,True,1292,128.03998244695427,True,usable
Group_B3_c_clamp,B,B3,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_B3_c_clamp_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_B3_c_clamp_candidates.csv,True,1292,0.0,False,nonpositive_tomo_best
Group_B4_pipe_elbow,B,B4,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_B4_pipe_elbow_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_B4_pipe_elbow_candidates.csv,True,1292,0.0,False,nonpositive_tomo_best
Group_B5_hollow_box,B,B5,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_B5_hollow_box_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_B5_hollow_box_candidates.csv,True,1292,0.0,False,nonpositive_tomo_best
Group_C1_Bunny_69k,C,C1,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C1_Bunny_69k_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C1_Bunny_69k_candidates.csv,True,1292,3201.394288007878,True,usable
Group_C2_manikin,C,C2,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C2_manikin_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C2_manikin_candidates.csv,True,1292,4657.721223909993,True,usable
Group_C3_dragon_100k_1.5x,C,C3,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C3_dragon_100k_1.5x_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C3_dragon_100k_1.5x_candidates.csv,True,1292,24446.98002712786,True,usable
Group_C4_happy_50k_0.75x,C,C4,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C4_happy_50k_0.75x_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C4_happy_50k_0.75x_candidates.csv,True,1292,2112.4674268990507,True,usable
Group_C5_lucy_50k,C,C5,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C5_lucy_50k_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C5_lucy_50k_candidates.csv,True,1292,5036.138305979327,True,usable
Group_D10_37416,D,D10,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D10_37416_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D10_37416_candidates.csv,True,1292,-2258.7601310950668,False,nonpositive_tomo_best
Group_D1_37009,D,D1,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D1_37009_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D1_37009_candidates.csv,True,1292,-1238.2400676238635,False,nonpositive_tomo_best
Group_D2_37010,D,D2,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D2_37010_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D2_37010_candidates.csv,True,1292,-6537.440394567064,False,nonpositive_tomo_best
Group_D3_37011,D,D3,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D3_37011_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D3_37011_candidates.csv,True,1292,73.160006364515,True,usable
Group_D4_37091,D,D4,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D4_37091_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D4_37091_candidates.csv,True,1292,0.0,False,nonpositive_tomo_best
Group_D5_37095,D,D5,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D5_37095_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D5_37095_candidates.csv,True,1292,0.0,False,nonpositive_tomo_best
Group_D6_37111,D,D6,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D6_37111_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D6_37111_candidates.csv,True,1292,9703.401691657453,True,usable
Group_D7_37137,D,D7,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D7_37137_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D7_37137_candidates.csv,True,1292,6586.240835426268,True,usable
Group_D8_37402,D,D8,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D8_37402_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D8_37402_candidates.csv,True,1292,5533.694235746526,True,usable
Group_D9_37415,D,D9,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D9_37415_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D9_37415_candidates.csv,True,1292,11089.877648787065,True,usable
