name,mesh_stem,family,group_id,split_group,source,angle_step,critical_angle,grid_path,candidate_path,tomo_best_vss,oracle_ratio,untuned_J_ratio
Group_A5_torus_1deg_60deg,Group_A5_torus,A,A5,A,g5_1deg_60deg,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_A5_torus_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_A5_torus_candidates.csv,665.9202092935232,1.0351394305604535,1.2230900063191332
Group_B2_hook_1deg_60deg,Group_B2_hook,B,B2,B,g5_1deg_60deg,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_B2_hook_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_B2_hook_candidates.csv,128.03998244695427,1.2580447563700055,3.5164021008808493
Group_C1_Bunny_69k_1deg_60deg,Group_C1_Bunny_69k,C,C1,C,g5_1deg_60deg,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C1_Bunny_69k_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C1_Bunny_69k_candidates.csv,3201.394288007878,1.457441746332514,2.4659405565667845
Group_C2_manikin_1deg_60deg,Group_C2_manikin,C,C2,C,g5_1deg_60deg,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C2_manikin_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C2_manikin_candidates.csv,4657.721223909993,1.1269289689726742,3.9852887907671564
Group_C3_dragon_100k_1.5x_1deg_60deg,Group_C3_dragon_100k_1.5x,C,C3,C,g5_1deg_60deg,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C3_dragon_100k_1.5x_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C3_dragon_100k_1.5x_candidates.csv,24446.98002712786,1.288711162780426,2.008517699453845
Group_C4_happy_50k_0.75x_1deg_60deg,Group_C4_happy_50k_0.75x,C,C4,C,g5_1deg_60deg,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C4_happy_50k_0.75x_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C4_happy_50k_0.75x_candidates.csv,2112.4674268990507,4.348005783042627,11.150796567484377
Group_C5_lucy_50k_1deg_60deg,Group_C5_lucy_50k,C,C5,C,g5_1deg_60deg,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C5_lucy_50k_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C5_lucy_50k_candidates.csv,5036.138305979327,1.0193965361246327,2.8181675730355846
Group_D3_37011_1deg_60deg,Group_D3_37011,D,D3,D,g5_1deg_60deg,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D3_37011_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D3_37011_candidates.csv,73.160006364515,2.8091851259580336,132.82869518103345
Group_D6_37111_1deg_60deg,Group_D6_37111,D,D6,D,g5_1deg_60deg,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D6_37111_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D6_37111_candidates.csv,9703.401691657453,1.0340623902825437,2.1271076666217894
Group_D7_37137_1deg_60deg,Group_D7_37137,D,D7,D,g5_1deg_60deg,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D7_37137_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D7_37137_candidates.csv,6586.240835426268,1.1572065449580875,4.140476769760679
Group_D8_37402_1deg_60deg,Group_D8_37402,D,D8,D,g5_1deg_60deg,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D8_37402_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D8_37402_candidates.csv,5533.694235746526,1.2545447877170333,1.8438155119472424
Group_D9_37415_1deg_60deg,Group_D9_37415,D,D9,D,g5_1deg_60deg,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D9_37415_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D9_37415_candidates.csv,11089.877648787065,1.0085812908404193,1.8139513603960034
Group_E2_45809_1deg_60deg,Group_E2_45809,E,E2,E,g5_1deg_60deg,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_E2_45809_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_E2_45809_candidates.csv,5218.226554965185,1.0701761739224833,1.1703069650649354
Group_E3_45811_1deg_60deg,Group_E3_45811,E,E3,E,g5_1deg_60deg,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_E3_45811_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_E3_45811_candidates.csv,7187.566481345942,1.0304634272880604,2.4753693868921194
Group_E4_46012_1deg_60deg,Group_E4_46012,E,E4,E,g5_1deg_60deg,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_E4_46012_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_E4_46012_candidates.csv,18153.478291409076,1.2084205010134497,1.3508660398915195
Group_E5_55280_1deg_60deg,Group_E5_55280,E,E5,E,g5_1deg_60deg,1deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_E5_55280_tomo_int3_1deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_E5_55280_candidates.csv,70321.90275586341,1.1395633022542104,1.6734790128219452
