source,outer_key,name,group,oracle,untuned_J,raw_R+B,raw_R+P+B,selected_model,selected_alpha,selected,B_nested,B_alpha,B_inner_score,R+B_nested,R+B_alpha,R+B_inner_score,R+P+B_nested,R+P+B_alpha,R+P+B_inner_score,full7_nested,full7_alpha,full7_inner_score
g5_3deg_0deg,A,Group_A1_cube_3deg_0deg,A,1.0065789528635174,1.0065789528635174,1.0065789528635174,1.0065789528635174,B,0.01,1.0065789528635174,1.0065789528635174,0.01,4.247410644074488,1.1682038600458444,0.01,4.483111292071378,1.1682038600458444,0.01,4.570503849630161,1.1682038600458444,100.0,4.5064451047916885
g5_3deg_30deg,A,Group_A1_cube_3deg_30deg,A,1.0065789528635174,1.0065789528635174,1.0065789528635174,1.0065789528635174,B,0.01,1.0065789528635174,1.0065789528635174,0.01,4.247410644074488,1.0091110273381632,0.01,4.483111292071378,1.0091110273381632,0.01,4.570503849630161,1.0091110273381632,100.0,4.5064451047916885
g5_3deg_0deg,A,Group_A3_cylinder_3deg_0deg,A,1.0,1.0,1.0,1.0,B,0.01,1.0,1.0,0.01,4.247410644074488,1.459363886566088,0.01,4.483111292071378,1.459363886566088,0.01,4.570503849630161,1.459363886566088,100.0,4.5064451047916885
g5_3deg_30deg,A,Group_A3_cylinder_3deg_30deg,A,1.0,1.0084033467757987,1.0084033467757987,1.0084033467757987,B,0.01,1.0084033467757987,1.0084033467757987,0.01,4.247410644074488,1.0,0.01,4.483111292071378,1.0,0.01,4.570503849630161,1.0,100.0,4.5064451047916885
g5_3deg_0deg,A,Group_A4_cone_3deg_0deg,A,1.0704846005924835,1.5117845795771798,1.5117845795771798,1.5117845795771798,B,0.01,1.5117845795771798,1.5117845795771798,0.01,4.247410644074488,1.520595207084632,0.01,4.483111292071378,1.520595207084632,0.01,4.570503849630161,1.520595207084632,100.0,4.5064451047916885
g5_3deg_0deg,A,Group_A5_torus_3deg_0deg,A,1.0733332454799431,1.2024031416372356,1.2031415054556953,1.2024031416372356,B,0.01,1.2031415054556953,1.2031415054556953,0.01,4.247410644074488,1.2024031416372356,0.01,4.483111292071378,1.2031735280164462,0.01,4.570503849630161,1.2039760687364924,100.0,4.5064451047916885
g5_3deg_30deg,A,Group_A5_torus_3deg_30deg,A,1.0,1.0123020429142564,1.0123020429142564,1.0123020429142564,B,0.01,1.0049691992091863,1.0049691992091863,0.01,4.247410644074488,1.0294006437977756,0.01,4.483111292071378,1.0323682670314833,0.01,4.570503849630161,1.0323682670314833,100.0,4.5064451047916885
g5_3deg_45deg,A,Group_A5_torus_3deg_45deg,A,1.0129102913739811,1.1958971599447408,1.1111871254982655,1.1958971599447408,B,0.01,1.1111871254982655,1.1111871254982655,0.01,4.247410644074488,1.1958971599447408,0.01,4.483111292071378,1.2007658982841602,0.01,4.570503849630161,1.2007658982841602,100.0,4.5064451047916885
g5_3deg_60deg,A,Group_A5_torus_3deg_60deg,A,1.02824488517553,1.1088504656539881,1.1088504656539881,1.1088504656539881,B,0.01,1.1088504656539881,1.1088504656539881,0.01,4.247410644074488,1.313745497756939,0.01,4.483111292071378,1.313745497756939,0.01,4.570503849630161,1.3180541098224898,100.0,4.5064451047916885
g5_3deg_0deg,B,Group_B1_u_bracket_3deg_0deg,B,1.0,1.0,1.0,1.0,B,0.01,1.0,1.0,0.01,4.216044458478692,1.0,0.01,4.397865262000215,1.0,0.01,4.498072722497845,1.0,0.01,4.334361434093434
g5_3deg_30deg,B,Group_B1_u_bracket_3deg_30deg,B,1.0,1.0,1.0,1.0,B,0.01,1.0,1.0,0.01,4.216044458478692,1.0,0.01,4.397865262000215,1.0,0.01,4.498072722497845,1.0,0.01,4.334361434093434
g5_3deg_0deg,B,Group_B2_hook_3deg_0deg,B,1.006198293459814,1.0748205085056712,1.0858351091762042,1.0748205085056712,B,0.01,1.125906963947895,1.125906963947895,0.01,4.216044458478692,1.0748205085056712,0.01,4.397865262000215,1.0748205085056712,0.01,4.498072722497845,1.0748205085056712,0.01,4.334361434093434
g5_3deg_30deg,B,Group_B2_hook_3deg_30deg,B,1.0,1.2858955856794327,1.2158972533576884,1.2858955856794327,B,0.01,1.4892713264970978,1.4892713264970978,0.01,4.216044458478692,1.2858955856794327,0.01,4.397865262000215,1.2858955856794327,0.01,4.498072722497845,1.2858955856794327,0.01,4.334361434093434
g5_3deg_45deg,B,Group_B2_hook_3deg_45deg,B,1.130271087901559,2.252383950118675,1.7414656966876094,2.252383950118675,B,0.01,1.7414656966876094,1.7414656966876094,0.01,4.216044458478692,2.252383950118675,0.01,4.397865262000215,2.252383950118675,0.01,4.498072722497845,2.252383950118675,0.01,4.334361434093434
g5_3deg_60deg,B,Group_B2_hook_3deg_60deg,B,1.1751432163262847,3.8344887728707477,1.6957579709230177,3.8344887728707477,B,0.01,1.6957579709230177,1.6957579709230177,0.01,4.216044458478692,3.8344887728707477,0.01,4.397865262000215,3.8344887728707477,0.01,4.498072722497845,3.8344887728707477,0.01,4.334361434093434
g5_3deg_0deg,B,Group_B3_c_clamp_3deg_0deg,B,1.051980163016237,1.051980163016237,1.051980163016237,1.051980163016237,B,0.01,1.051980163016237,1.051980163016237,0.01,4.216044458478692,1.051980163016237,0.01,4.397865262000215,1.051980163016237,0.01,4.498072722497845,1.051980163016237,0.01,4.334361434093434
g5_3deg_30deg,B,Group_B3_c_clamp_3deg_30deg,B,1.0247524698025259,1.051980163016237,1.051980163016237,1.051980163016237,B,0.01,1.051980163016237,1.051980163016237,0.01,4.216044458478692,1.051980163016237,0.01,4.397865262000215,1.051980163016237,0.01,4.498072722497845,1.051980163016237,0.01,4.334361434093434
g5_3deg_0deg,B,Group_B4_pipe_elbow_3deg_0deg,B,1.0,1.0517277124532762,1.224604381325613,1.0517277124532762,B,0.01,1.1894254416813932,1.1894254416813932,0.01,4.216044458478692,1.1894254416813932,0.01,4.397865262000215,1.1894254416813932,0.01,4.498072722497845,1.149354641279566,0.01,4.334361434093434
g5_3deg_30deg,B,Group_B4_pipe_elbow_3deg_30deg,B,1.2657438135000865,2.3307956269474404,2.7107263736765663,2.3307956269474404,B,0.01,3.6913487475992195,3.6913487475992195,0.01,4.216044458478692,3.6913487475992195,0.01,4.397865262000215,3.6913487475992195,0.01,4.498072722497845,2.464359653597818,0.01,4.334361434093434
g5_3deg_45deg,B,Group_B4_pipe_elbow_3deg_45deg,B,1.3333333608851679,6.759450664913929,8.649485783584089,6.759450664913929,B,0.01,12.62543104844869,12.62543104844869,0.01,4.216044458478692,12.62543104844869,0.01,4.397865262000215,12.62543104844869,0.01,4.498072722497845,7.855670266699552,0.01,4.334361434093434
g5_3deg_0deg,B,Group_B5_hollow_box_3deg_0deg,B,1.0070007720818397,1.0074789671556137,2.8233119528732864,1.0074789671556137,B,0.01,1.0074789671556137,1.0074789671556137,0.01,4.216044458478692,1.6006093094021832,0.01,4.397865262000215,1.0074789671556137,0.01,4.498072722497845,1.0074789671556137,0.01,4.334361434093434
g5_3deg_30deg,B,Group_B5_hollow_box_3deg_30deg,B,1.0,1.104046918843728,1.6055231742018785,1.104046918843728,B,0.01,1.104046918843728,1.104046918843728,0.01,4.216044458478692,1.1176348780442629,0.01,4.397865262000215,1.104046918843728,0.01,4.498072722497845,1.0911613437742649,0.01,4.334361434093434
g5_3deg_0deg,C,Group_C1_Bunny_69k_3deg_0deg,C,1.005442051832993,1.3599039145268008,1.326037553157746,1.3599039145268008,B,0.01,1.326037553157746,1.326037553157746,0.01,4.5094525850295355,1.340254140788839,100.0,4.775695469736303,1.3463732332962792,0.01,4.767431242047354,1.3463732332962792,10.0,5.227252096456962
g5_3deg_30deg,C,Group_C1_Bunny_69k_3deg_30deg,C,1.0742438327064483,1.4882627661569319,1.4540354401845716,1.4882627661569319,B,0.01,1.4540354401845716,1.4540354401845716,0.01,4.5094525850295355,1.487510870430464,100.0,4.775695469736303,1.5476423780754864,0.01,4.767431242047354,1.5331888272458367,10.0,5.227252096456962
g5_3deg_45deg,C,Group_C1_Bunny_69k_3deg_45deg,C,1.142574373890088,1.4203593213004801,1.4080675150904312,1.4203593213004801,B,0.01,1.4080675150904312,1.4080675150904312,0.01,4.5094525850295355,1.4476945211830206,100.0,4.775695469736303,1.5127721245812287,0.01,4.767431242047354,1.427171083465948,10.0,5.227252096456962
g5_3deg_60deg,C,Group_C1_Bunny_69k_3deg_60deg,C,1.0,1.5338887825421135,1.6105432618683,1.5338887825421135,B,0.01,1.6105432618683,1.6105432618683,0.01,4.5094525850295355,1.5338887825421135,100.0,4.775695469736303,1.7659375957120982,0.01,4.767431242047354,1.5632746937212865,10.0,5.227252096456962
g5_3deg_0deg,C,Group_C2_manikin_3deg_0deg,C,1.01149405004365,3.253313360446397,2.7023801295917504,3.253313360446397,B,0.01,2.6761668592226817,2.6761668592226817,0.01,4.5094525850295355,2.798790973706015,100.0,4.775695469736303,2.758615799200595,0.01,4.767431242047354,3.1185368945330594,10.0,5.227252096456962
g5_3deg_30deg,C,Group_C2_manikin_3deg_30deg,C,1.0128619944407116,2.0527898223700527,1.8575729973813335,2.0527898223700527,B,0.01,1.9261739315970747,1.9261739315970747,0.01,4.5094525850295355,1.9885350705573914,100.0,4.775695469736303,2.034415046696083,0.01,4.767431242047354,2.0527898223700527,10.0,5.227252096456962
g5_3deg_45deg,C,Group_C2_manikin_3deg_45deg,C,1.0,1.7139881811810829,1.4212941643554329,1.7139881811810829,B,0.01,1.450584749002417,1.450584749002417,0.01,4.5094525850295355,1.4422388027133466,100.0,4.775695469736303,1.5550568624444887,0.01,4.767431242047354,1.7139881811810829,10.0,5.227252096456962
g5_3deg_60deg,C,Group_C2_manikin_3deg_60deg,C,1.0549911267570087,3.85603849448598,2.4591469921861844,3.85603849448598,B,0.01,2.4591469921861844,2.4591469921861844,0.01,4.5094525850295355,2.3186628983740425,100.0,4.775695469736303,2.4591469921861844,0.01,4.767431242047354,3.4040122908483186,10.0,5.227252096456962
g5_3deg_0deg,C,Group_C3_dragon_100k_1.5x_3deg_0deg,C,1.0193688536591317,1.8444383858196807,1.6524844493145845,1.8444383858196807,B,0.01,1.656703585866626,1.656703585866626,0.01,4.5094525850295355,1.6524844493145845,100.0,4.775695469736303,1.6524844493145845,0.01,4.767431242047354,1.6524844493145845,10.0,5.227252096456962
g5_3deg_30deg,C,Group_C3_dragon_100k_1.5x_3deg_30deg,C,1.0342815954204523,1.8045282380771255,1.5224780678957845,1.8045282380771255,B,0.01,1.5224780678957845,1.5224780678957845,0.01,4.5094525850295355,1.5847769327176986,100.0,4.775695469736303,1.5224780678957845,0.01,4.767431242047354,1.5847769327176986,10.0,5.227252096456962
g5_3deg_45deg,C,Group_C3_dragon_100k_1.5x_3deg_45deg,C,1.0056224348929186,1.3152257294231775,1.2532217744944407,1.3152257294231775,B,0.01,1.3362996231624507,1.3362996231624507,0.01,4.5094525850295355,1.145651257368853,100.0,4.775695469736303,1.2532217744944407,0.01,4.767431242047354,1.145651257368853,10.0,5.227252096456962
