source,outer_key,name,group,oracle,untuned_J,raw_R+B,raw_R+P+B,selected_model,selected_alpha,selected,B_nested,B_alpha,B_inner_score,R+B_nested,R+B_alpha,R+B_inner_score,R+P+B_nested,R+P+B_alpha,R+P+B_inner_score,full7_nested,full7_alpha,full7_inner_score
g5_3deg_0deg,Group_A1_cube,Group_A1_cube_3deg_0deg,Group_A1_cube,1.0065789528635174,1.0065789528635174,1.0065789528635174,1.0065789528635174,B,0.01,1.0065789528635174,1.0065789528635174,0.01,4.03173204717992,1.1682038600458444,0.01,4.209598084794913,1.1682038600458444,0.01,4.2842650940891485,1.1682038600458444,100.0,4.793486348869882
g5_3deg_30deg,Group_A1_cube,Group_A1_cube_3deg_30deg,Group_A1_cube,1.0065789528635174,1.0065789528635174,1.0065789528635174,1.0065789528635174,B,0.01,1.0065789528635174,1.0065789528635174,0.01,4.03173204717992,1.0091110273381632,0.01,4.209598084794913,1.0091110273381632,0.01,4.2842650940891485,1.0091110273381632,100.0,4.793486348869882
g5_3deg_0deg,Group_A3_cylinder,Group_A3_cylinder_3deg_0deg,Group_A3_cylinder,1.0,1.0,1.0,1.0,B,0.01,1.0,1.0,0.01,4.031779122021021,1.459363886566088,100.0,4.206805520446577,1.459363886566088,0.01,4.281472529740811,1.459363886566088,100.0,4.790693784521544
g5_3deg_30deg,Group_A3_cylinder,Group_A3_cylinder_3deg_30deg,Group_A3_cylinder,1.0,1.0084033467757987,1.0084033467757987,1.0084033467757987,B,0.01,1.0084033467757987,1.0084033467757987,0.01,4.031779122021021,1.0,100.0,4.206805520446577,1.0,0.01,4.281472529740811,1.0,100.0,4.790693784521544
g5_3deg_0deg,Group_A4_cone,Group_A4_cone_3deg_0deg,Group_A4_cone,1.0704846005924835,1.5117845795771798,1.5117845795771798,1.5117845795771798,B,0.01,1.5117845795771798,1.5117845795771798,0.01,3.9971206871698213,1.520595207084632,10.0,4.1755578008035465,1.520595207084632,100.0,4.250811655245677,1.520595207084632,0.01,4.777712969220848
g5_3deg_0deg,Group_A5_torus,Group_A5_torus_3deg_0deg,Group_A5_torus,1.0733332454799431,1.2024031416372356,1.2031415054556953,1.2024031416372356,B,0.01,1.2031415054556953,1.2031415054556953,0.01,4.088787337122039,1.2024031416372356,0.01,4.293561266488519,1.2031415054556953,0.01,4.346431003612579,1.2024031416372356,100.0,4.861552860592822
g5_3deg_30deg,Group_A5_torus,Group_A5_torus_3deg_30deg,Group_A5_torus,1.0,1.0123020429142564,1.0123020429142564,1.0123020429142564,B,0.01,1.0049691992091863,1.0049691992091863,0.01,4.088787337122039,1.0294006437977756,0.01,4.293561266488519,1.0123020429142564,0.01,4.346431003612579,1.0294006437977756,100.0,4.861552860592822
g5_3deg_45deg,Group_A5_torus,Group_A5_torus_3deg_45deg,Group_A5_torus,1.0129102913739811,1.1958971599447408,1.1111871254982655,1.1958971599447408,B,0.01,1.1111871254982655,1.1111871254982655,0.01,4.088787337122039,1.1958971599447408,0.01,4.293561266488519,1.1986324147185523,0.01,4.346431003612579,1.1958971599447408,100.0,4.861552860592822
g5_3deg_60deg,Group_A5_torus,Group_A5_torus_3deg_60deg,Group_A5_torus,1.02824488517553,1.1088504656539881,1.1088504656539881,1.1088504656539881,B,0.01,1.1088504656539881,1.1088504656539881,0.01,4.088787337122039,1.313745497756939,0.01,4.293561266488519,1.1088504656539881,0.01,4.346431003612579,1.3180541098224898,100.0,4.861552860592822
g5_3deg_0deg,Group_B1_u_bracket,Group_B1_u_bracket_3deg_0deg,Group_B1_u_bracket,1.0,1.0,1.0,1.0,B,0.01,1.0,1.0,0.01,4.031862323474247,1.0,0.01,4.212153375139073,1.0,100.0,4.288152317248947,1.0,0.01,4.820270475916942
g5_3deg_30deg,Group_B1_u_bracket,Group_B1_u_bracket_3deg_30deg,Group_B1_u_bracket,1.0,1.0,1.0,1.0,B,0.01,1.0,1.0,0.01,4.031862323474247,1.0,0.01,4.212153375139073,1.0,100.0,4.288152317248947,1.0,0.01,4.820270475916942
g5_3deg_0deg,Group_B2_hook,Group_B2_hook_3deg_0deg,Group_B2_hook,1.006198293459814,1.0748205085056712,1.0858351091762042,1.0748205085056712,B,0.01,1.125906963947895,1.125906963947895,0.01,4.072380734473165,1.0748205085056712,10.0,4.231506418782774,1.0748205085056712,100.0,4.307479803769833,1.0748205085056712,0.01,4.837411152879764
g5_3deg_30deg,Group_B2_hook,Group_B2_hook_3deg_30deg,Group_B2_hook,1.0,1.2858955856794327,1.2158972533576884,1.2858955856794327,B,0.01,1.4892713264970978,1.4892713264970978,0.01,4.072380734473165,1.2858955856794327,10.0,4.231506418782774,1.2858955856794327,100.0,4.307479803769833,1.2858955856794327,0.01,4.837411152879764
g5_3deg_45deg,Group_B2_hook,Group_B2_hook_3deg_45deg,Group_B2_hook,1.130271087901559,2.252383950118675,1.7414656966876094,2.252383950118675,B,0.01,1.7414656966876094,1.7414656966876094,0.01,4.072380734473165,2.252383950118675,10.0,4.231506418782774,2.252383950118675,100.0,4.307479803769833,2.252383950118675,0.01,4.837411152879764
g5_3deg_60deg,Group_B2_hook,Group_B2_hook_3deg_60deg,Group_B2_hook,1.1751432163262847,3.8344887728707477,1.6957579709230177,3.8344887728707477,B,0.01,1.6957579709230177,1.6957579709230177,0.01,4.072380734473165,3.8344887728707477,10.0,4.231506418782774,3.8344887728707477,100.0,4.307479803769833,3.8344887728707477,0.01,4.837411152879764
g5_3deg_0deg,Group_B3_c_clamp,Group_B3_c_clamp_3deg_0deg,Group_B3_c_clamp,1.051980163016237,1.051980163016237,1.051980163016237,1.051980163016237,B,0.01,1.051980163016237,1.051980163016237,0.01,4.030833013315509,1.051980163016237,0.01,4.2111240649803365,1.051980163016237,100.0,4.2871230070902095,1.051980163016237,100.0,4.816616006511248
g5_3deg_30deg,Group_B3_c_clamp,Group_B3_c_clamp_3deg_30deg,Group_B3_c_clamp,1.0247524698025259,1.051980163016237,1.051980163016237,1.051980163016237,B,0.01,1.051980163016237,1.051980163016237,0.01,4.030833013315509,1.051980163016237,0.01,4.2111240649803365,1.051980163016237,100.0,4.2871230070902095,1.051980163016237,100.0,4.816616006511248
g5_3deg_0deg,Group_B4_pipe_elbow,Group_B4_pipe_elbow_3deg_0deg,Group_B4_pipe_elbow,1.0,1.0517277124532762,1.224604381325613,1.0517277124532762,B,0.01,1.1894254416813932,1.1894254416813932,0.01,3.917118894331696,1.1894254416813932,0.01,4.105907748690335,1.1894254416813932,100.0,4.134859382081052,1.149354641279566,1.0,4.023043660964263
g5_3deg_30deg,Group_B4_pipe_elbow,Group_B4_pipe_elbow_3deg_30deg,Group_B4_pipe_elbow,1.2657438135000865,2.3307956269474404,2.7107263736765663,2.3307956269474404,B,0.01,3.6913487475992195,3.6913487475992195,0.01,3.917118894331696,3.6913487475992195,0.01,4.105907748690335,3.6913487475992195,100.0,4.134859382081052,2.464359653597818,1.0,4.023043660964263
g5_3deg_45deg,Group_B4_pipe_elbow,Group_B4_pipe_elbow_3deg_45deg,Group_B4_pipe_elbow,1.3333333608851679,6.759450664913929,8.649485783584089,6.759450664913929,B,0.01,12.62543104844869,12.62543104844869,0.01,3.917118894331696,12.62543104844869,0.01,4.105907748690335,12.62543104844869,100.0,4.134859382081052,7.855670266699552,1.0,4.023043660964263
g5_3deg_0deg,Group_B5_hollow_box,Group_B5_hollow_box_3deg_0deg,Group_B5_hollow_box,1.0070007720818397,1.0074789671556137,2.8233119528732864,1.0074789671556137,B,0.01,1.0074789671556137,1.0074789671556137,0.01,4.030758106781184,1.6006093094021832,0.01,4.205042046550494,1.0074789671556137,0.01,4.293644490047591,1.0074789671556137,100.0,4.7930871071804315
g5_3deg_30deg,Group_B5_hollow_box,Group_B5_hollow_box_3deg_30deg,Group_B5_hollow_box,1.0,1.104046918843728,1.6055231742018785,1.104046918843728,B,0.01,1.104046918843728,1.104046918843728,0.01,4.030758106781184,1.1176348780442629,0.01,4.205042046550494,1.104046918843728,0.01,4.293644490047591,1.0911613437742649,100.0,4.7930871071804315
g5_3deg_0deg,Group_C1_Bunny_69k,Group_C1_Bunny_69k_3deg_0deg,Group_C1_Bunny_69k,1.005442051832993,1.3599039145268008,1.326037553157746,1.3599039145268008,B,0.01,1.326037553157746,1.326037553157746,0.01,4.074943544450484,1.340254140788839,0.01,4.258769116910121,1.3463732332962792,0.01,4.321947079917997,1.3463732332962792,0.01,4.852496688807336
g5_3deg_30deg,Group_C1_Bunny_69k,Group_C1_Bunny_69k_3deg_30deg,Group_C1_Bunny_69k,1.0742438327064483,1.4882627661569319,1.4540354401845716,1.4882627661569319,B,0.01,1.4540354401845716,1.4540354401845716,0.01,4.074943544450484,1.487510870430464,0.01,4.258769116910121,1.5476423780754864,0.01,4.321947079917997,1.5331888272458367,0.01,4.852496688807336
g5_3deg_45deg,Group_C1_Bunny_69k,Group_C1_Bunny_69k_3deg_45deg,Group_C1_Bunny_69k,1.142574373890088,1.4203593213004801,1.4080675150904312,1.4203593213004801,B,0.01,1.4080675150904312,1.4080675150904312,0.01,4.074943544450484,1.4476945211830206,0.01,4.258769116910121,1.5127721245812287,0.01,4.321947079917997,1.427171083465948,0.01,4.852496688807336
g5_3deg_60deg,Group_C1_Bunny_69k,Group_C1_Bunny_69k_3deg_60deg,Group_C1_Bunny_69k,1.0,1.5338887825421135,1.6105432618683,1.5338887825421135,B,0.01,1.6105432618683,1.6105432618683,0.01,4.074943544450484,1.5338887825421135,0.01,4.258769116910121,1.7659375957120982,0.01,4.321947079917997,1.5632746937212865,0.01,4.852496688807336
g5_3deg_0deg,Group_C2_manikin,Group_C2_manikin_3deg_0deg,Group_C2_manikin,1.01149405004365,3.253313360446397,2.7023801295917504,3.253313360446397,B,0.01,2.6761668592226817,2.6761668592226817,0.01,4.047535577160511,2.798790973706015,100.0,4.230287815215348,2.7316824657365486,0.01,4.306386709444309,3.1185368945330594,0.01,4.809232414981173
g5_3deg_30deg,Group_C2_manikin,Group_C2_manikin_3deg_30deg,Group_C2_manikin,1.0128619944407116,2.0527898223700527,1.8575729973813335,2.0527898223700527,B,0.01,1.9261739315970747,1.9261739315970747,0.01,4.047535577160511,1.9885350705573914,100.0,4.230287815215348,1.9959056312926877,0.01,4.306386709444309,2.0527898223700527,0.01,4.809232414981173
g5_3deg_45deg,Group_C2_manikin,Group_C2_manikin_3deg_45deg,Group_C2_manikin,1.0,1.7139881811810829,1.4212941643554329,1.7139881811810829,B,0.01,1.450584749002417,1.450584749002417,0.01,4.047535577160511,1.4422388027133466,100.0,4.230287815215348,1.5347451625618946,0.01,4.306386709444309,1.7139881811810829,0.01,4.809232414981173
g5_3deg_60deg,Group_C2_manikin,Group_C2_manikin_3deg_60deg,Group_C2_manikin,1.0549911267570087,3.85603849448598,2.4591469921861844,3.85603849448598,B,0.01,2.4591469921861844,2.4591469921861844,0.01,4.047535577160511,2.3186628983740425,100.0,4.230287815215348,2.4591469921861844,0.01,4.306386709444309,3.4040122908483186,0.01,4.809232414981173
g5_3deg_0deg,Group_C3_dragon_100k_1.5x,Group_C3_dragon_100k_1.5x_3deg_0deg,Group_C3_dragon_100k_1.5x,1.0193688536591317,1.8444383858196807,1.6524844493145845,1.8444383858196807,B,0.01,1.656703585866626,1.656703585866626,0.01,4.068521044894184,1.6340711363242864,0.01,4.2807079422330805,1.6524844493145845,0.01,4.331751978000985,1.6524844493145845,10.0,4.850887577111658
g5_3deg_30deg,Group_C3_dragon_100k_1.5x,Group_C3_dragon_100k_1.5x_3deg_30deg,Group_C3_dragon_100k_1.5x,1.0342815954204523,1.8045282380771255,1.5224780678957845,1.8045282380771255,B,0.01,1.5224780678957845,1.5224780678957845,0.01,4.068521044894184,1.5224780678957845,0.01,4.2807079422330805,1.5224780678957845,0.01,4.331751978000985,1.5847769327176986,10.0,4.850887577111658
g5_3deg_45deg,Group_C3_dragon_100k_1.5x,Group_C3_dragon_100k_1.5x_3deg_45deg,Group_C3_dragon_100k_1.5x,1.0056224348929186,1.3152257294231775,1.2532217744944407,1.3152257294231775,B,0.01,1.3362996231624507,1.3362996231624507,0.01,4.068521044894184,1.2099919782105812,0.01,4.2807079422330805,1.2532217744944407,0.01,4.331751978000985,1.145651257368853,10.0,4.850887577111658
g5_3deg_60deg,Group_C3_dragon_100k_1.5x,Group_C3_dragon_100k_1.5x_3deg_60deg,Group_C3_dragon_100k_1.5x,1.0,1.8505158253665277,1.8592263175634993,1.8505158253665277,B,0.01,1.919029949449936,1.919029949449936,0.01,4.068521044894184,1.4064048457392075,0.01,4.2807079422330805,1.775092434932046,0.01,4.331751978000985,1.6310129050239435,10.0,4.850887577111658
g5_3deg_0deg,Group_C4_happy_50k_0.75x,Group_C4_happy_50k_0.75x_3deg_0deg,Group_C4_happy_50k_0.75x,1.0555326335432822,1.2537774038288063,1.3050628845856425,1.2537774038288063,B,0.01,1.3050628845856425,1.3050628845856425,0.01,4.039896391581242,1.2537774038288063,0.01,4.2355077497426805,1.3060496219631752,0.01,4.311618347000257,1.4721786342733583,0.01,4.817920184385832
g5_3deg_30deg,Group_C4_happy_50k_0.75x,Group_C4_happy_50k_0.75x_3deg_30deg,Group_C4_happy_50k_0.75x,1.144964694481414,1.5618071297200116,1.4518245690979095,1.5618071297200116,B,0.01,1.4518245690979095,1.4518245690979095,0.01,4.039896391581242,1.5618071297200116,0.01,4.2355077497426805,1.61915927372255,0.01,4.311618347000257,1.8323842884921235,0.01,4.817920184385832
g5_3deg_45deg,Group_C4_happy_50k_0.75x,Group_C4_happy_50k_0.75x_3deg_45deg,Group_C4_happy_50k_0.75x,1.1495551010205556,1.826505085535608,1.812237828817228,1.826505085535608,B,0.01,1.812237828817228,1.812237828817228,0.01,4.039896391581242,1.826505085535608,0.01,4.2355077497426805,1.8687364518487857,0.01,4.311618347000257,2.10127956449563,0.01,4.817920184385832
g5_3deg_60deg,Group_C4_happy_50k_0.75x,Group_C4_happy_50k_0.75x_3deg_60deg,Group_C4_happy_50k_0.75x,1.154225632490849,3.4701340454366383,4.69922662185533,3.4701340454366383,B,0.01,4.69922662185533,4.69922662185533,0.01,4.039896391581242,3.4701340454366383,0.01,4.2355077497426805,3.459222341583617,0.01,4.311618347000257,3.8056906092871134,0.01,4.817920184385832
g5_3deg_0deg,Group_C5_lucy_50k,Group_C5_lucy_50k_3deg_0deg,Group_C5_lucy_50k,1.0003126830325642,1.388942847465305,1.388942847465305,1.388942847465305,B,0.01,1.388942847465305,1.388942847465305,0.01,4.083820040307998,1.375351230363152,0.01,4.267742601132252,1.0028924461580007,100.0,4.270237479626953,1.1035206305723246,10.0,4.6235565649457735
g5_3deg_30deg,Group_C5_lucy_50k,Group_C5_lucy_50k_3deg_30deg,Group_C5_lucy_50k,1.0,1.1335183161834168,1.1335183161834168,1.1335183161834168,B,0.01,1.1335183161834168,1.1335183161834168,0.01,4.083820040307998,1.1335183161834168,0.01,4.267742601132252,1.7348324423362609,100.0,4.270237479626953,1.9197474202526617,10.0,4.6235565649457735
g5_3deg_45deg,Group_C5_lucy_50k,Group_C5_lucy_50k_3deg_45deg,Group_C5_lucy_50k,1.0,1.159594378868067,1.162643136676464,1.159594378868067,B,0.01,1.162643136676464,1.162643136676464,0.01,4.083820040307998,1.177297450324982,0.01,4.267742601132252,2.5497126373875116,100.0,4.270237479626953,2.8042240316801315,10.0,4.6235565649457735
g5_3deg_60deg,Group_C5_lucy_50k,Group_C5_lucy_50k_3deg_60deg,Group_C5_lucy_50k,1.0,1.2348063800820093,1.2348063800820093,1.2348063800820093,B,0.01,1.2348063800820093,1.2348063800820093,0.01,4.083820040307998,1.2348063800820093,0.01,4.267742601132252,5.323057250735283,100.0,4.270237479626953,5.1233672766303275,10.0,4.6235565649457735
g5_3deg_0deg,Group_D10_37416,Group_D10_37416_3deg_0deg,Group_D10_37416,1.0883499447165705,3.311768133147312,3.3666103290610816,3.311768133147312,B,0.01,1.5947946606789463,1.5947946606789463,0.01,3.9963068628452945,2.9841964805924146,0.01,4.161208768710333,3.3512763234877334,100.0,4.232863801163293,3.2431719795116813,0.01,4.735896640767868
g5_3deg_0deg,Group_D1_37009,Group_D1_37009_3deg_0deg,Group_D1_37009,1.0145308535961097,1.5173549251392158,1.0145308535961097,1.5173549251392158,B,0.01,1.153156369320668,1.153156369320668,0.01,4.035115486066872,1.0145308535961097,100.0,4.235475624641149,1.111344290628329,100.0,4.299536328897068,1.5173549251392158,100.0,4.283866971807388
g5_3deg_30deg,Group_D1_37009,Group_D1_37009_3deg_30deg,Group_D1_37009,1.0230134086479614,13.636000036662972,1.209682294535301,13.636000036662972,B,0.01,1.953880483717892,1.953880483717892,0.01,4.035115486066872,1.126306847392888,100.0,4.235475624641149,1.3389492601162718,100.0,4.299536328897068,13.636000036662972,100.0,4.283866971807388
g5_3deg_45deg,Group_D1_37009,Group_D1_37009_3deg_45deg,Group_D1_37009,1.0067884636061761,46.28583676894027,2.2325095230542327,46.28583676894027,B,0.01,2.599509211173191,2.599509211173191,0.01,4.035115486066872,1.739090723942548,100.0,4.235475624641149,2.865132698068265,100.0,4.299536328897068,45.04212484112761,100.0,4.283866971807388
g5_3deg_0deg,Group_D2_37010,Group_D2_37010_3deg_0deg,Group_D2_37010,1.0720503639158485,7.01194770638628,6.207037883804621,7.01194770638628,B,0.01,1.2505656351972096,1.2505656351972096,0.01,3.999681657212762,6.207037883804621,0.01,4.129612284365115,6.227590005123887,100.0,4.2045802675398765,6.227590005123887,0.01,4.731565961396933
g5_3deg_0deg,Group_D3_37011,Group_D3_37011_3deg_0deg,Group_D3_37011,1.0,1.59293615588931,1.2923884014118632,1.59293615588931,B,0.01,1.2923884014118632,1.2923884014118632,0.01,3.206557258645544,1.6068865942695494,0.01,3.2270667486963935,1.59293615588931,100.0,3.307491704310937,1.5617126379792587,100.0,3.825436905034652
g5_3deg_30deg,Group_D3_37011,Group_D3_37011_3deg_30deg,Group_D3_37011,1.0,1.4336990867207884,1.2339924045685426,1.4336990867207884,B,0.01,1.2339924045685426,1.2339924045685426,0.01,3.206557258645544,1.4583797538800092,0.01,3.2270667486963935,1.4336990867207884,100.0,3.307491704310937,1.4217186728354105,100.0,3.825436905034652
g5_3deg_45deg,Group_D3_37011,Group_D3_37011_3deg_45deg,Group_D3_37011,1.0491364939209253,5.873834096417957,4.987492994511613,5.873834096417957,B,0.01,4.987492994511613,4.987492994511613,0.01,3.206557258645544,5.873834096417957,0.01,3.2270667486963935,5.873834096417957,100.0,3.307491704310937,5.791862020069335,100.0,3.825436905034652
g5_3deg_60deg,Group_D3_37011,Group_D3_37011_3deg_60deg,Group_D3_37011,1.2279212095410137,98.54594132457714,84.25505226449808,98.54594132457714,B,0.01,84.25505226449808,84.25505226449808,0.01,3.206557258645544,99.00878232353594,0.01,3.2270667486963935,98.54594132457714,100.0,3.307491704310937,98.54594132457714,100.0,3.825436905034652
g5_3deg_0deg,Group_D4_37091,Group_D4_37091_3deg_0deg,Group_D4_37091,1.0,1.0,1.0,1.0,B,0.01,1.0,1.0,0.01,4.029848733422856,1.0,0.01,4.213106864787743,1.0,100.0,4.289865796318716,1.0,10.0,4.650517597259945
g5_3deg_30deg,Group_D4_37091,Group_D4_37091_3deg_30deg,Group_D4_37091,1.0,1.0952461394947013,1.1105848585446412,1.0952461394947013,B,0.01,1.1105848585446412,1.1105848585446412,0.01,4.029848733422856,1.0952461394947013,0.01,4.213106864787743,1.0952461394947013,100.0,4.289865796318716,1.096655996741555,10.0,4.650517597259945
g5_3deg_45deg,Group_D4_37091,Group_D4_37091_3deg_45deg,Group_D4_37091,1.272814406274165,4.010300730484651,4.122636470068676,4.010300730484651,B,0.01,4.122636470068676,4.122636470068676,0.01,4.029848733422856,4.02155827077736,0.01,4.213106864787743,4.02155827077736,100.0,4.289865796318716,4.103953790695181,10.0,4.650517597259945
