name,mesh_stem,family,group_id,split_group,source,angle_step,critical_angle,grid_path,candidate_path,tomo_best_vss,oracle_ratio,untuned_J_ratio
Group_A1_cube_3deg_0deg,Group_A1_cube,A,A1,A,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_A1_cube_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_A1_cube_candidates.csv,1769.2821084960433,1.0065789528635174,1.0065789528635174
Group_A1_cube_3deg_30deg,Group_A1_cube,A,A1,A,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_A1_cube_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_A1_cube_candidates.csv,1769.2821084960433,1.0065789528635174,1.0065789528635174
Group_A3_cylinder_3deg_0deg,Group_A3_cylinder,A,A3,A,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_A3_cylinder_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_A3_cylinder_candidates.csv,931.20102547417,1.0,1.0
Group_A3_cylinder_3deg_30deg,Group_A3_cylinder,A,A3,A,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_A3_cylinder_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_A3_cylinder_candidates.csv,923.4410302698119,1.0,1.0084033467757987
Group_A4_cone_3deg_0deg,Group_A4_cone,A,A4,A,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_A4_cone_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_A4_cone_candidates.csv,880.7609642832732,1.0704846005924835,1.5117845795771798
Group_A5_torus_3deg_0deg,Group_A5_torus,A,A5,A,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_A5_torus_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_A5_torus_candidates.csv,3738.048648046068,1.0733332454799431,1.2024031416372356
Group_A5_torus_3deg_30deg,Group_A5_torus,A,A5,A,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_A5_torus_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_A5_torus_candidates.csv,2318.320934437523,1.0,1.0123020429142564
Group_A5_torus_3deg_45deg,Group_A5_torus,A,A5,A,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_A5_torus_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_A5_torus_candidates.csv,1462.4005753146716,1.0129102913739811,1.1958971599447408
Group_A5_torus_3deg_60deg,Group_A5_torus,A,A5,A,g5_3deg_60deg,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_A5_torus_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_A5_torus_candidates.csv,668.4402296365785,1.02824488517553,1.1088504656539881
Group_B1_u_bracket_3deg_0deg,Group_B1_u_bracket,B,B1,B,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_B1_u_bracket_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_B1_u_bracket_candidates.csv,1691.6820333023702,1.0,1.0
