source,outer_key,name,group,oracle,untuned_J,raw_R+B,raw_R+P+B,selected_model,selected_alpha,selected,B_nested,B_alpha,B_inner_score,R+B_nested,R+B_alpha,R+B_inner_score,R+P+B_nested,R+P+B_alpha,R+P+B_inner_score,full7_nested,full7_alpha,full7_inner_score
g5_3deg,A,Group_A5_torus,A,1.02824488517553,1.1088504656539881,1.1088504656539881,1.1088504656539881,B,0.01,1.1088504656539881,1.1088504656539881,0.01,7.713670186020987,1.313745497756939,0.01,8.888300416428537,1.3180541098224898,0.01,8.436797122603654,1.3180541098224898,100.0,9.059047658922953
g5_3deg,B,Group_B2_hook,B,1.1751432163262847,3.8344887728707477,1.6957579709230177,3.8344887728707477,B,0.01,1.6957579709230177,1.6957579709230177,0.01,7.674543019003051,3.8344887728707477,0.01,8.868398556333208,3.8344887728707477,100.0,8.138662193652076,3.662956235128983,1.0,7.855261528859488
g5_3deg,C,Group_C1_Bunny_69k,C,1.0,1.5338887825421135,1.6105432618683,1.5338887825421135,B,0.01,1.6105432618683,1.6105432618683,0.01,9.535559095502457,1.5338887825421135,100.0,10.790532978794943,1.5338887825421135,100.0,10.728668498669876,1.5632746937212865,10.0,9.540922157917285
g5_3deg,C,Group_C2_manikin,C,1.0549911267570087,3.85603849448598,2.4591469921861844,3.85603849448598,B,0.01,2.4591469921861844,2.4591469921861844,0.01,9.535559095502457,4.875715380972008,100.0,10.790532978794943,3.85603849448598,100.0,10.728668498669876,4.499351606586794,10.0,9.540922157917285
g5_3deg,C,Group_C3_dragon_100k_1.5x,C,1.0,1.8505158253665277,1.8592263175634993,1.8505158253665277,B,0.01,1.919029949449936,1.919029949449936,0.01,9.535559095502457,1.9596105651068023,100.0,10.790532978794943,1.9596105651068023,100.0,10.728668498669876,1.9596105651068023,10.0,9.540922157917285
g5_3deg,C,Group_C4_happy_50k_0.75x,C,1.154225632490849,3.4701340454366383,4.69922662185533,3.4701340454366383,B,0.01,4.69922662185533,4.69922662185533,0.01,9.535559095502457,3.459222341583617,100.0,10.790532978794943,3.459222341583617,100.0,10.728668498669876,3.5644449904381355,10.0,9.540922157917285
g5_3deg,C,Group_C5_lucy_50k,C,1.0,1.2348063800820093,1.2348063800820093,1.2348063800820093,B,0.01,1.2348063800820093,1.2348063800820093,0.01,9.535559095502457,1.439556484898091,100.0,10.790532978794943,1.9956989821526507,100.0,10.728668498669876,1.2348063800820093,10.0,9.540922157917285
g5_3deg,D,Group_D3_37011,D,1.2279212095410137,98.54594132457714,84.25505226449808,98.54594132457714,B,0.01,84.25505226449808,84.25505226449808,0.01,1.9313690865421775,99.00878232353594,0.01,1.9809338815673343,88.59920548197107,100.0,2.0927113645092317,84.76177705304353,10.0,2.302012517428052
g5_3deg,D,Group_D6_37111,D,1.253970642375463,2.0420984039048196,5.464090041365956,2.0420984039048196,B,0.01,3.2082865527036715,3.2082865527036715,0.01,1.9313690865421775,5.704091779584902,0.01,1.9809338815673343,5.704091779584902,100.0,2.0927113645092317,5.0008656574031365,10.0,2.302012517428052
g5_3deg,D,Group_D7_37137,D,1.1639782435063606,4.358423147092676,4.515290209615259,4.358423147092676,B,0.01,5.390845851265109,5.390845851265109,0.01,1.9313690865421775,4.515290209615259,0.01,1.9809338815673343,4.260788626897135,100.0,2.0927113645092317,5.164764161424908,10.0,2.302012517428052
g5_3deg,D,Group_D8_37402,D,1.0208074947193113,1.414400439257625,1.4959107233938576,1.414400439257625,B,0.01,1.5080596540561415,1.5080596540561415,0.01,1.9313690865421775,1.4959107233938576,0.01,1.9809338815673343,1.4959107233938576,100.0,2.0927113645092317,1.4217069703953917,10.0,2.302012517428052
g5_3deg,D,Group_D9_37415,D,1.0131994319387143,1.7643841819040422,1.3396530367386337,1.7643841819040422,B,0.01,1.2065989814818416,1.2065989814818416,0.01,1.9313690865421775,1.3396530367386337,0.01,1.9809338815673343,1.3396530367386337,100.0,2.0927113645092317,1.2634236018490077,10.0,2.302012517428052
g5_3deg,E,Group_E2_45809,E,1.066308181729581,1.1679040850989748,1.1679040850989748,1.1679040850989748,B,0.01,1.1679040850989748,1.1679040850989748,0.01,9.191350412168633,1.13211027364189,0.01,10.87941995706939,1.1679040850989748,10.0,10.878138360478383,1.216376646140363,100.0,9.564523015900974
g5_3deg,E,Group_E3_45811,E,1.0378459362391832,2.512300473035363,2.512300473035363,2.512300473035363,B,0.01,2.512300473035363,2.512300473035363,0.01,9.191350412168633,2.6434421141296602,0.01,10.87941995706939,2.5423520996136957,10.0,10.878138360478383,2.5717047443359706,100.0,9.564523015900974
g5_3deg,E,Group_E4_46012,E,1.0880787279516555,1.1891649190904467,1.1891649190904467,1.1891649190904467,B,0.01,1.1891649190904467,1.1891649190904467,0.01,9.191350412168633,1.1992024137974848,0.01,10.87941995706939,1.2089199914938322,10.0,10.878138360478383,1.2005339895571916,100.0,9.564523015900974
g5_3deg,E,Group_E5_55280,E,1.0,1.3303617092257845,1.6483288327204002,1.3303617092257845,B,0.01,1.6483288327204002,1.6483288327204002,0.01,9.191350412168633,1.4057564177009423,0.01,10.87941995706939,1.4057564177009423,10.0,10.878138360478383,1.44721801928969,100.0,9.564523015900974
