mesh,group,sftf,uniform,hybrid25,nn_frac,nn_mean_deg,score_cv,top_k_used,oracle,fixed_route,loo_t1,loo_t2,loo_route,fixed_ratio,loo_ratio,oracle_ratio,fixed_h25_ratio,loo_h25_ratio
Group_A2_sphere,A,1.0,1.0,1.0,0.95,3.685985803936403,0.8617311207870585,20,uniform,SFTF,0.75,2.0,SFTF,1.0,1.0,1.0,1.0,1.0
Group_A5_torus,A,1.0566052058045992,1.0695892307265609,1.0566052058045992,0.65,5.129383139324468,0.5668704716481322,20,SFTF,uniform,0.75,2.0,uniform,1.0695892307265609,1.0695892307265609,1.0566052058045992,1.0695892307265609,1.0695892307265609
Group_B2_hook,B,1.0967742141907648,1.072830115004652,1.072830115004652,0.7,4.745781897653167,0.7167937801859358,20,uniform,uniform,0.75,2.0,uniform,1.072830115004652,1.072830115004652,1.072830115004652,1.072830115004652,1.072830115004652
Group_C1_Bunny_69k,C,1.0147593608041465,1.1698993884675477,1.0154979833762219,0.85,3.8164979925197295,0.2686360249642574,20,SFTF,SFTF,0.75,2.0,SFTF,1.0147593608041465,1.0147593608041465,1.0147593608041465,1.0154979833762219,1.0154979833762219
Group_C2_manikin,C,1.0,1.0178341201119203,1.0178341201119203,0.95,3.549296139022199,0.341551649340822,20,SFTF,SFTF,0.75,2.0,SFTF,1.0,1.0,1.0,1.0178341201119203,1.0178341201119203
Group_C3_dragon_100k_1.5x,C,1.0,1.1217461389712373,1.1104280444894603,0.9,3.390903432589912,1.272627696046596,20,SFTF,SFTF,0.75,2.0,SFTF,1.0,1.0,1.0,1.1104280444894603,1.1104280444894603
Group_C4_happy_50k_0.75x,C,1.6621244595083648,1.0713854605623532,1.0713854605623532,0.85,4.404764483597194,0.33226350590188625,20,uniform,SFTF,0.75,2.0,SFTF,1.6621244595083648,1.6621244595083648,1.0713854605623532,1.0713854605623532,1.0713854605623532
Group_C5_lucy_50k,C,1.0,1.0320771812543488,1.0320771812543488,0.85,7.2360730935304876,0.3359827470267685,20,SFTF,SFTF,0.75,2.0,SFTF,1.0,1.0,1.0,1.0320771812543488,1.0320771812543488
Group_C6_nefertiti_100k,C,2.2685387166172277,2.5036124100654242,2.2685387166172277,0.55,6.761276908955567,0.8261004478605948,20,SFTF,uniform,0.75,2.0,uniform,2.5036124100654242,2.5036124100654242,2.2685387166172277,2.5036124100654242,2.5036124100654242
Group_C7_liver_19k,C,15.850802770124055,2.6128619942276337,7.696158411265375,0.55,7.636298122551148,0.41669559920404275,20,uniform,uniform,0.75,2.0,uniform,2.6128619942276337,2.6128619942276337,2.6128619942276337,2.6128619942276337,2.6128619942276337
