ranking,top_k,scope,mesh_count,mean_ratio,median_ratio,max_ratio,count_ratio_le_2_00,mean_budget_fraction
tuned,5,ALL,26,5.824915894033589,1.2332386546867706,71.58443069812793,17,0.013079537922042198
tuned,5,A,2,1.0283026029022997,1.0283026029022997,1.0566052058045992,2,0.014214900131214462
tuned,5,B,1,1.0967742141907648,1.0967742141907648,1.0967742141907648,1,0.013950169197596703
tuned,5,C,8,4.524319244456318,1.0866543074113544,26.741246249958582,6,0.012756002486168767
tuned,5,D,6,13.558064001630795,1.8481201344428402,71.58443069812793,4,0.015070479815225482
tuned,5,E,9,3.416832873271406,2.0549390511325845,10.906619672653717,4,0.01169079085915206
tuned,10,ALL,26,5.362516618283489,1.1812197541818192,62.59206345625487,17,0.021710002461377907
tuned,10,A,2,1.0283026029022997,1.0283026029022997,1.0566052058045992,2,0.024834830917503704
tuned,10,B,1,1.0967742141907648,1.0967742141907648,1.0967742141907648,1,0.022951020940600517
tuned,10,C,8,4.499560764495734,1.0656622274348675,26.741246249958582,6,0.019716699534227028
tuned,10,D,6,11.773293819392572,1.411309734650258,62.59206345625487,4,0.02607663640804884
tuned,10,E,9,3.2928670692282296,2.0549390511325845,10.001470468028536,4,0.019738440722012057
tuned,20,ALL,26,3.5199621193267965,1.144779004797014,34.03656384860017,18,0.03746665777343872
tuned,20,A,2,1.0283026029022997,1.0283026029022997,1.0566052058045992,2,0.040200735107925815
tuned,20,B,1,1.0967742141907648,1.0967742141907648,1.0967742141907648,1,0.037384611843064436
tuned,20,C,8,3.103314627683489,1.0225255376091311,15.850802770124055,6,0.031866506549213094
tuned,20,D,6,6.8519076387554465,1.3522652795756898,34.03656384860017,4,0.047450781787534875
tuned,20,E,9,2.491963647611195,1.236077323980503,5.676225147316883,5,0.035190030770175185
rtilde,5,ALL,26,3.2559511364943194,1.247219955302253,27.25782765655016,16,0.012142502566148796
rtilde,5,A,2,1.0283026029022997,1.0283026029022997,1.0566052058045992,2,0.013812048710491787
rtilde,5,B,1,1.0967742141907648,1.0967742141907648,1.0967742141907648,1,0.014548691308384681
rtilde,5,C,8,4.6413119161314444,1.2060555068745973,27.25782765655016,6,0.012190092157058342
rtilde,5,D,6,2.4323805877731335,2.1459598205160546,4.971831527880984,3,0.011290070927427917
rtilde,5,E,9,3.30850791924073,2.1644519242139464,11.470261412464557,4,0.012030123907718461
rtilde,10,ALL,26,2.99293076015531,1.1869710722400186,23.927490787918643,18,0.018991862106172156
rtilde,10,A,2,1.0283026029022997,1.0283026029022997,1.0566052058045992,2,0.023472809447441317
rtilde,10,B,1,1.0967742141907648,1.0967742141907648,1.0967742141907648,1,0.02520698889664751
rtilde,10,C,8,4.138780199912745,1.0975799314176187,23.927490787918643,6,0.01934262321498454
rtilde,10,D,6,2.149085929218925,1.5062687781355384,4.971831527880984,4,0.016697232218905626
rtilde,10,E,9,3.1842292410474666,1.7796776153927136,10.906619672653717,5,0.01852349199284843
rtilde,20,ALL,26,2.711604607694227,1.1665634133183598,22.963342160958447,21,0.030825659481056537
rtilde,20,A,2,1.0283026029022997,1.0283026029022997,1.0566052058045992,2,0.037027800584710065
rtilde,20,B,1,1.0967742141907648,1.0967742141907648,1.0967742141907648,1,0.035404884861227275
rtilde,20,C,8,4.006043735259495,1.0771722724959598,22.963342160958447,6,0.03145790010819438
rtilde,20,D,6,1.3038431247398266,1.2788339200822783,1.6424263984350023,6,0.029138307205541187
rtilde,20,E,9,3.052992416615514,1.490924778255492,10.906619672653717,6,0.029501512930891156
