X√‡,Y√‡,orientation,None,skirt,brim,raft,,,
0 ,0 ,"(0°∆,0°∆)",31.8 ,31.8 ,31.9 ,33.6 ,,,
30 ,0 ,"(30°∆,0°∆)",33.9 ,34.0 ,34.0 ,35.6 ,,,
60 ,0 ,"(60°∆,0°∆)",33.9 ,33.9 ,34.1 ,35.6 ,,,
90 ,0 ,"(90°∆,0°∆)",32.4 ,32.5 ,32.5 ,34.3 ,,,
120 ,0 ,"(120°∆,0°∆)",36.1 ,36.2 ,36.3 ,38.3 ,,,
150 ,0 ,"(150°∆,0°∆)",36.1 ,36.1 ,35.8 ,38.2 ,,,
180 ,0 ,"(180°∆,0°∆)",36.5 ,36.5 ,36.7 ,37.9 ,,,
210 ,0 ,"(210°∆,0°∆)",41.2 ,41.2 ,41.4 ,42.6 ,,,
240 ,0 ,"(240°∆,0°∆)",44.8 ,44.8 ,45.0 ,46.7 ,,,
270 ,0 ,"(270°∆,0°∆)",39.1 ,39.2 ,39.2 ,41.4 ,,,
300 ,0 ,"(300°∆,0°∆)",35.7 ,35.7 ,36.1 ,37.6 ,,,
330 ,0 ,"(330°∆,0°∆)",37.3 ,37.3 ,37.0 ,39.3 ,,,
360 ,0 ,"(360°∆,0°∆)",31.8 ,31.8 ,31.9 ,33.6 ,,,
0 ,30 ,"(0°∆,30°∆)",34.8 ,34.9 ,34.9 ,36.4 ,,,
30 ,30 ,"(30°∆,30°∆)",32.4 ,32.5 ,32.6 ,33.6 ,,,
60 ,30 ,"(60°∆,30°∆)",35.8 ,35.9 ,36.0 ,37.6 ,,,
90 ,30 ,"(90°∆,30°∆)",36.4 ,36.4 ,36.5 ,38.5 ,,,
120 ,30 ,"(120°∆,30°∆)",35.6 ,35.7 ,35.8 ,38.0 ,,,
150 ,30 ,"(150°∆,30°∆)",34.5 ,34.5 ,34.8 ,36.4 ,,,
180 ,30 ,"(180°∆,30°∆)",34.8 ,34.9 ,34.7 ,36.2 ,,,
210 ,30 ,"(210°∆,30°∆)",35.0 ,35.0 ,35.2 ,36.1 ,,,
240 ,30 ,"(240°∆,30°∆)",34.0 ,35.2 ,35.3 ,36.7 ,,,
270 ,30 ,"(270°∆,30°∆)",32.1 ,32.1 ,32.2 ,33.6 ,,,
300 ,30 ,"(300°∆,30°∆)",32.5 ,32.6 ,32.7 ,33.9 ,,,
330 ,30 ,"(330°∆,30°∆)",33.6 ,33.7 ,34.0 ,35.0 ,,,
360 ,30 ,"(360°∆,30°∆)",34.8 ,34.9 ,34.9 ,36.4 ,,,
0 ,60 ,"(0°∆,60°∆)",34.4 ,34.5 ,34.7 ,35.5 ,,,
30 ,60 ,"(30°∆,60°∆)",37.0 ,37.1 ,37.3 ,38.4 ,,,
60 ,60 ,"(60°∆,60°∆)",39.1 ,39.2 ,39.4 ,40.8 ,,,
90 ,60 ,"(90°∆,60°∆)",37.6 ,37.7 ,37.8 ,39.1 ,,,
120 ,60 ,"(120°∆,60°∆)",35.9 ,36.0 ,36.1 ,37.4 ,,,
150 ,60 ,"(150°∆,60°∆)",34.1 ,34.2 ,34.3 ,35.5 ,,,
180 ,60 ,"(180°∆,60°∆)",32.7 ,32.7 ,32.9 ,33.9 ,,,
210 ,60 ,"(210°∆,60°∆)",31.6 ,31.6 ,31.8 ,32.7 ,,,
240 ,60 ,"(240°∆,60°∆)",31.5 ,31.6 ,31.7 ,32.7 ,,,
270 ,60 ,"(270°∆,60°∆)",32.1 ,32.2 ,32.4 ,33.2 ,,,
300 ,60 ,"(300°∆,60°∆)",33.1 ,33.2 ,33.3 ,34.1 ,,,
330 ,60 ,"(330°∆,60°∆)",34.5 ,34.6 ,34.7 ,35.6 ,,,
360 ,60 ,"(360°∆,60°∆)",34.7 ,34.5 ,34.7 ,35.3 ,,,
0 ,90 ,"(0°∆,90°∆)",36.2 ,36.3 ,36.4 ,37.5 ,,,
30 ,90 ,"(30°∆,90°∆)",36.2 ,36.3 ,36.4 ,37.5 ,,,
60 ,90 ,"(60°∆,90°∆)",35.9 ,35.9 ,36.1 ,37.1 ,,,
90 ,90 ,"(90°∆,90°∆)",36.0 ,36.0 ,36.2 ,37.2 ,,,
120 ,90 ,"(120°∆,90°∆)",36.0 ,36.1 ,36.2 ,37.3 ,,,
150 ,90 ,"(150°∆,90°∆)",35.8 ,35.9 ,36.0 ,37.1 ,,,
180 ,90 ,"(180°∆,90°∆)",35.9 ,35.9 ,36.1 ,37.1 ,,,
210 ,90 ,"(210°∆,90°∆)",36.0 ,36.1 ,36.2 ,37.3 ,,,
240 ,90 ,"(240°∆,90°∆)",36.0 ,36.0 ,36.2 ,37.2 ,,,
270 ,90 ,"(270°∆,90°∆)",35.9 ,36.0 ,36.1 ,37.2 ,,,
300 ,90 ,"(300°∆,90°∆)",36.1 ,36.1 ,36.2 ,37.4 ,,,
330 ,90 ,"(330°∆,90°∆)",35.9 ,36.0 ,36.1 ,37.2 ,,,
360 ,90 ,"(360°∆,90°∆)",36.2 ,36.3 ,36.4 ,37.5 ,,,
0 ,120 ,"(0°∆,120°∆)",32.6 ,32.7 ,32.8 ,33.9 ,,,
30 ,120 ,"(30°∆,120°∆)",31.6 ,31.6 ,31.7 ,32.6 ,,,
60 ,120 ,"(60°∆,120°∆)",31.3 ,31.3 ,31.5 ,32.3 ,,,
90 ,120 ,"(90°∆,120°∆)",32.1 ,32.1 ,32.3 ,33.1 ,,,
120 ,120 ,"(120°∆,120°∆)",33.3 ,33.4 ,33.5 ,34.3 ,,,
150 ,120 ,"(150°∆,120°∆)",34.4 ,34.5 ,34.6 ,35.4 ,,,
180 ,120 ,"(180°∆,120°∆)",34.5 ,34.5 ,34.7 ,35.5 ,,,
210 ,120 ,"(210°∆,120°∆)",36.9 ,37.0 ,37.2 ,38.3 ,,,
240 ,120 ,"(240°∆,120°∆)",38.7 ,38.8 ,39.0 ,40.3 ,,,
270 ,120 ,"(270°∆,120°∆)",37.6 ,37.7 ,37.8 ,39.1 ,,,
300 ,120 ,"(300°∆,120°∆)",35.9 ,36.0 ,36.1 ,37.4 ,,,
330 ,120 ,"(330°∆,120°∆)",34.2 ,34.3 ,34.4 ,35.6 ,,,
